 	è	possibile	che	è	entrato	da	qui	</S>
i	0.65521773	0.232351715	0.02567789975	0.0174899565	0.0151544158	0.01601228365	0.0178940225	0.02020199
s	0.36515489	0.454286605	0.0390130305833	0.0271319545	0.0269933386	0.02749985255	0.0289950275	0.030925252
o	0.175985136667	0.573285035	0.0851170801944	0.0341126031667	0.0324878542	0.0321331741833	0.0329392168333	0.033939878
g	0.103020885689	0.515614701667	0.132721313398	0.0457308110556	0.0518970214	0.0499209313944	0.0511441132778	0.0499502293333
g	0.0393913140297	0.345268660556	0.112623443466	0.0573817020185	0.0667739458	0.0883322437981	0.119626651093	0.170602036444
è	0.0391188700099	0.190589890185	0.161508843489	0.100883814006	0.0548011672667	0.0944188545994	0.136163587031	0.222514958815
s	0.04006528967	0.167414363395	0.27844956783	0.154315378002	0.0782695324222	0.0698574781998	0.083911166677	0.127717182938
t	0.02917837489	0.167889864465	0.28867151261	0.157519562667	0.0885780474741	0.0699891447333	0.067619906559	0.130553540979
e	0.0222412751633	0.109139290488	0.245982004203	0.290298437556	0.0851763924914	0.0612238802444	0.0538441795197	0.132094501326
k	0.0076833198111	0.0428091541627	0.186562594734	0.420965099185	0.177156107497	0.0469645557481	0.0395112538399	0.078347892442
a	0.00373280706037	0.0257284687209	0.167790498245	0.358270706395	0.286693249166	0.0543766095827	0.0377544249466	0.065653223814
m	0.00247615853012	0.0174364779903	0.131430592148	0.220787794465	0.364368169722	0.0923729518609	0.0841177086489	0.0870100932713
b	0.00116077915337	0.00958575674677	0.062178060116	0.127849130488	0.284119848574	0.096359119287	0.157592172883	0.26115507109
ì	0.00333773441779	0.0163903225823	0.107284656705	0.161733200163	0.162000701525	0.107382701762	0.139869452294	0.30200119203
k	0.00388918774926	0.0155053437608	0.110230298902	0.163124393388	0.251485440508	0.222303460587	0.0921778137647	0.141284038343
e	0.00148193189309	0.00791209292027	0.0762910713007	0.114105622796	0.274025913503	0.312541510196	0.129810149588	0.0838316854477
a	0.000711880787697	0.00517586750676	0.0602617004336	0.071847082832	0.154479301168	0.280889686732	0.314776666529	0.111857821816
p	0.000414015279232	0.00210495011325	0.0210700116879	0.0263110684107	0.0688505643893	0.182453868911	0.51648115551	0.182314397272
ò	0.000328650826411	0.00072916893675	0.0071142683393	0.00981017927023	0.0283002187964	0.134365799637	0.615373551837	0.203978159091
t	0.000317883768804	0.00027311032825	0.0024379460191	0.00403033433341	0.0131813187988	0.125786737879	0.647061437279	0.206911216364
t	0.000207743999601	0.000115549306083	0.000844967492367	0.00173019927447	0.0073139337996	0.11516972396	0.682864899093	0.191752987121
u	0.000731518256534	0.000182765520694	0.000433126104122	0.00117516657816	0.0055244159332	0.106860607987	0.740041316364	0.14505112404
</S>	0.00133888987827	0.000294953535347	0.000414943242061	0.00109909978908	0.0050100174666	0.101753463993	0.757480233182	0.13260846202
