 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a	0.60903959	0.123878125	0.031826103	0.029717761	0.0296421515	0.0287113215	0.028180845	0.029627361	0.0295883025	0.029682943	0.030105523
p	0.421410823333	0.303151741667	0.0336498936667	0.0324020886667	0.0324000111667	0.0240041615	0.0232936313333	0.0326597836667	0.0323794085	0.0322545833333	0.0323938983333
e	0.270781174444	0.439235173889	0.0388160438889	0.0341184015556	0.0340455297222	0.0238321515	0.0231180641111	0.0343809925556	0.0340111338333	0.0338364004444	0.0338249234444
t	0.176110843481	0.522072471296	0.0432297366296	0.0357349765185	0.0358293775741	0.0228792740333	0.021782974037	0.0363281021852	0.0354756392778	0.0353155378148	0.0352410554815
à	0.104672989827	0.574558990432	0.0530391708765	0.0408499088395	0.0407699131914	0.0127929388778	0.0114070463457	0.0423699260617	0.0404942537593	0.0397206279383	0.0393242621605
c	0.087589054609	0.613184910144	0.0487090897922	0.0388361929465	0.0386940503971	0.00849599295927	0.0076961871819	0.0446815073539	0.0393511775864	0.0368711416461	0.0358907050535
i	0.0735149888697	0.504043036715	0.191256596097	0.0348678929822	0.032663459799	0.0156199046531	0.0151303371273	0.038886928118	0.0332565528621	0.0308247455487	0.0299355433512
a	0.0458693167899	0.219923767572	0.500531658699	0.0416954529941	0.030042575933	0.0224300332177	0.0220094080424	0.0313023543727	0.029390673954	0.0285513175162	0.0282534201171
k	0.0180157665633	0.0777602856573	0.7085777029	0.043028956998	0.0257369546443	0.0165942270726	0.0143631161141	0.0250005297909	0.023663795318	0.0236369538387	0.0236216607057
è	0.0191283119878	0.0439034596858	0.682358567633	0.073350331666	0.0349567958814	0.0108177829242	0.00802588523803	0.0347623349303	0.031780185106	0.0309066846129	0.0300096439019
c	0.0194751056626	0.0342481890619	0.619628022544	0.101239453889	0.0445753939605	0.00824978587473	0.00574539194601	0.0528608676434	0.0411574890353	0.037442543871	0.0353778209673
c	0.0118518472209	0.0180580925206	0.495879590848	0.0979058946297	0.0471249166535	0.0166830809582	0.0138128844153	0.109396035881	0.0726567070118	0.060458811957	0.0561722046558
i	0.0094212372403	0.0107457542069	0.362234406949	0.197990354877	0.0453230848845	0.0276882189861	0.0246182298051	0.115447949627	0.0788009896706	0.0660518906523	0.0616779048853
a	0.0042767232601	0.0039751939923	0.291907838983	0.396181518292	0.0798232309615	0.031005597662	0.0228094976017	0.0557075348757	0.0415093838902	0.0373493158841	0.0354541462951
f	0.0017437470667	0.00160074223743	0.206320199661	0.480119639431	0.129903426987	0.0250020028873	0.0136907374672	0.0429189876252	0.0334029059634	0.0331084799614	0.032189096765
o	0.0007377661789	0.000752058639143	0.156934629887	0.404556863144	0.149968625662	0.0813465699624	0.0327095624224	0.0539528645417	0.0414559893211	0.0406693056538	0.0369157479217
r	0.000386018020967	0.000409265219714	0.0912500432957	0.354546564381	0.257024748554	0.0999208938208	0.0385171812075	0.0552175605139	0.0367874984404	0.0356170725513	0.0303231826406
à	0.000271616111656	0.000406067136571	0.0507811864319	0.301228238127	0.349332876185	0.0776680584403	0.0240792108025	0.100021979171	0.0342763381468	0.0392452381838	0.0226892335469
e	0.000266221717219	0.000425130835524	0.0221106618106	0.176038969376	0.281993422062	0.19180988948	0.0693654036008	0.139009797724	0.0424274897156	0.0526508993946	0.0239021095156
n	0.00013686507874	0.000560629401841	0.0136759774369	0.0870323751253	0.306644094021	0.20939480116	0.0759117853669	0.166662727241	0.0438359759052	0.0616512884649	0.0344934645052
d	0.000147256535913	0.00072827137728	0.014779993979	0.0582712893751	0.376198848007	0.137788928387	0.049979669289	0.197298712414	0.0677841869684	0.060324948155	0.0366978905017
ì	0.000182100518638	0.000562146752427	0.0122366801597	0.0406403351917	0.259431082669	0.169219336129	0.151854433096	0.193910184138	0.0845493256561	0.0627799660517	0.0246344125006
n	0.000122942229546	0.000564258900809	0.00708345765323	0.0274411707972	0.144057074223	0.22578484871	0.204638654365	0.223326254713	0.0717361328854	0.0746129820172	0.0206322405002
n	0.000116963126515	0.000608565633603	0.00723449815108	0.0341812462657	0.128059401408	0.206377366237	0.168572578122	0.296727678238	0.0649755306285	0.0710803756724	0.0220657821667
