 	voglio	che	Maria	che	venga	domani	</S>
i	0.73291644	0.175839258	0.019049681	0.0190387365	0.0172806455	0.018474928	0.017400292
t	0.504485266667	0.305120026	0.0261990213333	0.0337822398333	0.0410852408333	0.0441769056667	0.0451512196667
è	0.365788385556	0.397528568667	0.0344036661111	0.0382457922778	0.0487872486111	0.0574455138889	0.0578007498889
l	0.323056528519	0.483312142889	0.0475994487037	0.0266847644259	0.030549160537	0.045858059963	0.042939889963
o	0.211282116173	0.593361464296	0.0855598762346	0.021853977142	0.0219843145123	0.0344211896543	0.0315370749877
k	0.098270919391	0.614029554765	0.120642768745	0.0401689633807	0.0376239398374	0.0458678475514	0.0433959933292
a	0.0399378464637	0.414542736922	0.327035686248	0.0672539977936	0.0479518072791	0.0536979751838	0.0495798917764
i	0.0167857552879	0.176429996641	0.520682838749	0.152900615931	0.0470200507597	0.0455241443946	0.0406565279255
M	0.00672286399597	0.0697000668803	0.36668898625	0.240630191977	0.105179571253	0.102987482798	0.108090809309
a	0.00893987809866	0.0599027962934	0.24377547875	0.233827627326	0.149787497084	0.146982444266	0.15678424977
r	0.00927537149955	0.0546723970978	0.226445469583	0.210631295775	0.116397822361	0.230631751422	0.151945859923
ì	0.00460200009985	0.0255023470326	0.236355883194	0.260042511925	0.0944493541203	0.261660003807	0.117387883641
a	0.00281073445995	0.0152915201109	0.193489434565	0.415611547308	0.173089101373	0.143598132936	0.0561095128803
n	0.00122523942998	0.0054996999203	0.0673374216883	0.469434949103	0.299679343791	0.109137115979	0.0476861756268
a	0.000873852859993	0.00218311232343	0.0233614784961	0.332981016368	0.492794481264	0.101110871993	0.0466951475423
r	0.000994825986664	0.00112809288114	0.00847781043203	0.198748680456	0.657272060421	0.0845739006643	0.0488046281808
t	0.00349765662889	0.00115902750038	0.00885649647734	0.139798637152	0.529109623474	0.127265553555	0.19031301606
i	0.00415429644296	0.00143926730013	0.00941323659245	0.0933758437173	0.331601504491	0.143135614518	0.41688026202
à	0.00244494158099	0.00094867535671	0.00499791289748	0.0441056269058	0.234111101497	0.287407091506	0.42598467734
v	0.00174370890366	0.000458865058903	0.00404654499916	0.0182935623019	0.125963107832	0.501966030502	0.347528199113
v	0.00145786804455	0.000295548576301	0.00451070709972	0.023021138434	0.137669523277	0.513673730167	0.319371499704
r	0.00247828411485	0.000309287965434	0.00362648449991	0.024794143078	0.141942949092	0.352558740056	0.474290139901
i	0.00666446323828	0.00109797412181	0.00267053429997	0.010050723526	0.0561001530307	0.224816136685	0.698600026634
</S>	0.0102875851191	0.00186573421091	0.00311481464998	0.006630701113	0.0338449995153	0.213371238342	0.730884913317
