 	stava	ancora	cucinando	</S>
ì	0.7941579	0.034563335	0.0868928295	0.08438593
s	0.85297072	0.040139715	0.0445617595	0.06232781
t	0.70038704	0.0900815183333	0.0703981665	0.139133256667
i	0.535381426667	0.211736029444	0.0889490308333	0.163933490222
g	0.527565988889	0.280707576481	0.0720977322778	0.119628691407
g	0.647931342963	0.197337465494	0.0538890584259	0.100842122136
h	0.800244547654	0.115372471831	0.0279497039753	0.0564332483787
e	0.593026509218	0.34605310061	0.0254379004918	0.0354824214596
a	0.230858654406	0.701048220203	0.0328331491639	0.0352598968199
n	0.087132533802	0.847789826734	0.0253366960546	0.0397409272733
k	0.0413982782673	0.807522975578	0.0430236883515	0.108055100424
ò	0.142231275422	0.594805535193	0.127182036117	0.135781196808
r	0.169335273207	0.624922288398	0.134931672372	0.0708107702693
a	0.0671644531357	0.604112976133	0.266266231124	0.0624563280898
m	0.0382052140452	0.346310068711	0.459583743708	0.15590098603
a	0.0236545833484	0.19890491757	0.582798581236	0.19464194201
r	0.0128503819495	0.08471175819	0.687830793745	0.214607047337
è	0.0123219938165	0.0333749338967	0.695544231248	0.258758782446
o	0.0119221078055	0.0139856870322	0.531811117083	0.442281027482
n	0.0070962189685	0.00562332634407	0.317694485694	0.669585929161
t	0.0646015214895	0.00876521654802	0.314838458565	0.611794783054
a	0.0975347738298	0.0135555498493	0.362219032855	0.526690624351
</S>	0.0721536469149	0.0133050024246	0.379136101427	0.535405227175
