 	non	ho	dove	d	andare	</S>
e	0.646808565	0.2205169225	0.0662946935	0.020426017	0.0258043095	0.0201493745
n	0.372619520667	0.344928260833	0.180501106167	0.0276335553333	0.0416004211667	0.0327170881667
è	0.139073274556	0.411177933611	0.313219915389	0.0464681287778	0.0508932543889	0.0391674953889
c	0.0539865635187	0.353917114537	0.38866490513	0.0899589479259	0.0552218587963	0.0582506127963
h	0.0228135843729	0.281352448179	0.481948128377	0.096785616642	0.0531621062654	0.0639381299321
o	0.0127964633243	0.20050597606	0.528554709459	0.181672619547	0.0370845987551	0.0393856329774
p	0.00831403581477	0.0781259943533	0.457868353153	0.296785573182	0.0825488862517	0.0763571349925
u	0.0101973513116	0.0365875971178	0.305849067718	0.412666157727	0.130814642084	0.103885128331
è	0.0106818320592	0.0198803670726	0.145260972673	0.625237685909	0.134258474028	0.064680630777
n	0.0036069311384	0.00709722073087	0.0520007836577	0.611682628636	0.280615704676	0.0449967149257
a	0.0020577905428	0.00342852881696	0.0218212241192	0.346094931212	0.562979001559	0.0636185196419
p	0.0015655954476	0.00237315287232	0.0102622712397	0.135526110404	0.69552710052	0.154745791214
à	0.0006227565392	0.00188322705744	0.00581328704657	0.0685418818013	0.754146633507	0.168992253738
o	0.000255084337733	0.00152865137248	0.00393181994886	0.0438032166338	0.692865237836	0.257616031246
</S>	0.000143004220867	0.00092083761624	0.00248411587443	0.0230121423669	0.566227308918	0.407212615623
