 	è	che	sono	usciti	</S>
è	0.53573257	0.26142196	0.1144225775	0.0447243412	0.0436985175
n	0.340145652333	0.474835326667	0.1252513475	0.0177759661	0.0419916881667
a	0.145505518111	0.607834842222	0.181261375833	0.0234638936	0.0419343940556
g	0.063862232237	0.471387864074	0.384844505278	0.027445229	0.0524601726852
u	0.032899666279	0.250445450025	0.521114155093	0.133311167467	0.0622295592284
ì	0.0260366467597	0.120420411342	0.594152285031	0.192167077489	0.0672235914095
k	0.0144634229199	0.050376581114	0.691296841677	0.13786954083	0.105993603803
a	0.0071043675733	0.021512057238	0.465117246559	0.289611216943	0.216655091268
n	0.0036828226911	0.009485721296	0.165875957186	0.447799265648	0.373156213756
e	0.0020584177637	0.004086146882	0.062936354062	0.340979168549	0.589939921252
</S>	0.00175716833185	0.003001783091	0.038984766031	0.225050794275	0.731205510626
