 	volevo	trovare	un	forno	che	fa	un	rustico	buono	</S>
ì	0.577045335	0.077738553	0.05100612	0.05195387	0.044234982	0.0388187135	0.0479080865	0.0338188445	0.0297974796	0.047677985
s	0.699679211667	0.060779721	0.0366645313333	0.040188069	0.0323415026667	0.0261248411667	0.0364345395	0.0198626508333	0.0120408688667	0.0358840616667
e	0.736757157222	0.0892714536667	0.0258847447778	0.0265978866667	0.0233187228889	0.0204350487222	0.0250588738333	0.0170258949444	0.0108326612222	0.0248175652222
l	0.702754139074	0.132715437889	0.0236673725926	0.0226334722222	0.0214053876296	0.0202729642407	0.0220505169444	0.0188207966481	0.0137235374074	0.0219564070741
a	0.529419536358	0.280883699296	0.0298496888642	0.0244697940741	0.0238736312099	0.0232817877469	0.0241155346481	0.0224617138827	0.0175507138025	0.0240939790247
n	0.274168773786	0.467210133099	0.0478604362881	0.0327714860247	0.0317442037366	0.0308979969156	0.0322059475494	0.0300973546276	0.0210145712675	0.0320291756749
a	0.143252337595	0.5056587677	0.0939521687627	0.0402819803416	0.0387590865789	0.0375424173052	0.0390030391831	0.0366647522092	0.0258165584225	0.039068939225
v	0.0748356575317	0.375472939233	0.174493329588	0.0631638984472	0.0589765808596	0.0544664564351	0.0608472583944	0.0501368474031	0.0272350814742	0.060371957075
r	0.0417784971772	0.324233483078	0.234312796529	0.0723098994824	0.0655571959532	0.0581783174784	0.0685744454648	0.0501165901344	0.0173887593581	0.0675500256917
ì	0.0303452143924	0.305507811026	0.40616131551	0.0585850111608	0.0426486626511	0.0338955618261	0.0441679401549	0.0269223153781	0.00841659648603	0.0433496092306
k	0.0139747501308	0.164652638675	0.615996221837	0.0671475283869	0.0311936918837	0.0189177357754	0.0361396087183	0.0130765347927	0.00469880756201	0.0342025270769
o	0.00801124037693	0.103645292558	0.618170507279	0.0983208927956	0.0447028432946	0.0236106144251	0.0373918505728	0.0181047682642	0.013223920754	0.0348180806923
a	0.00456501594564	0.0648848015193	0.497982369093	0.149665214265	0.108831361098	0.0389627741417	0.0379439451909	0.0296812987547	0.0272037665847	0.0402794335641
f	0.00199420611855	0.0238136685731	0.371805456364	0.190667834755	0.174350817033	0.0559422847139	0.0503033567303	0.0441709209182	0.0340808305282	0.0528706295214
ù	0.00127874635618	0.020896011591	0.284058018788	0.271510548252	0.195628869011	0.0512133209046	0.0560747522434	0.0395572896394	0.0259106163761	0.0538718575071
r	0.00115574385206	0.019719460297	0.246570319596	0.417129846084	0.176935833004	0.0284972466349	0.0425623830811	0.0173965730465	0.0114309089254	0.038601690169
n	0.00082117977402	0.00727409048567	0.175736816532	0.582204212028	0.141723617668	0.0182144338783	0.0316892466937	0.00952178134883	0.00741983357513	0.0253947613897
o	0.000555365168007	0.00335503444856	0.0778046521773	0.473312395676	0.250768792556	0.0857664506261	0.0406087355646	0.0138050596163	0.011179148525	0.0428443337966
k	0.000928605976002	0.00247270711619	0.0356142187258	0.191053670892	0.417835697519	0.163463073542	0.0669612051882	0.0247482372054	0.0139748978417	0.0829476815989
a	0.000861599942001	0.00150733382206	0.0190821004753	0.0820812226307	0.414125279173	0.258902621181	0.0960011617294	0.0327915104018	0.0193786316139	0.0752685728663
k	0.000538643514	0.000718364747353	0.00934005319177	0.0442413698769	0.381650303058	0.329850480394	0.127773077243	0.0347782634673	0.019141953538	0.0519675129554
a	0.000444529094667	0.000453441075784	0.00424257273059	0.024539293959	0.300638767686	0.367897746798	0.179813109081	0.0495897461558	0.0267040085127	0.0456767746518
n	0.000385469838222	0.000365687395261	0.00224948258686	0.015654441653	0.206012049229	0.408553442266	0.23361039636	0.0654097723853	0.0293039850042	0.0384552445506
n	0.000446959779407	0.000345743491754	0.00136178120562	0.016996002551	0.18411822641	0.400945780755	0.259389015453	0.0676017477951	0.0183332715014	0.0504614355169
i	0.000430051873136	0.000313269003918	0.00144400513521	0.0166491598503	0.11627582547	0.355601053585	0.262678375151	0.130317680932	0.0496642571671	0.0666262985056
u	0.000522977037712	0.000325109934639	0.00151448651174	0.0124133986168	0.0690703851567	0.258828581195	0.306717938384	0.163347336977	0.075346660389	0.111913129502
n	0.0011109076459	0.00042353856488	0.00124963780391	0.00957658953893	0.0460070063856	0.178300610398	0.296053239461	0.276828275659	0.0602883091297	0.130161886501
r	0.0015340732153	0.000639655811627	0.0011338954013	0.00591888994631	0.0263019681285	0.153563120133	0.192635893154	0.444134071886	0.0647373873766	0.109401020167
ù	0.00239871863843	0.000660039847209	0.00129955820043	0.00796468641544	0.0180112930428	0.118534540044	0.149714437718	0.382875780629	0.182811305792	0.135729618056
s	0.00284659601281	0.0015525819024	0.00202915770014	0.0170474144718	0.0104294643476	0.0622031846813	0.137911619239	0.30329205021	0.298128768597	0.164559136019
t	0.00385462250427	0.0018371396908	0.00188959009005	0.0189187351573	0.0159233584492	0.0490085595604	0.125476329746	0.320650943403	0.302332729532	0.160107948673
i	0.0134533496681	0.00204771362027	0.00195407022002	0.0251861447191	0.0226505688164	0.0423662531868	0.142330186582	0.339582554468	0.239318983177	0.171110152891
k	0.0148675823894	0.00218254022009	0.00217426364001	0.0316467319064	0.0156353604388	0.0293375077289	0.114032988861	0.326416151489	0.244716661059	0.21899022763
o	0.00633998019647	0.0012609691367	0.00129313551334	0.0185932723688	0.0065202466796	0.0188130959096	0.0507673346203	0.23701678383	0.431301353686	0.22809384921
k	0.00383266896549	0.0015143693289	0.00128362653778	0.0097208831896	0.0031365549732	0.0120191960699	0.0238459182068	0.127510268943	0.482583201229	0.334553336403
a	0.00335526945516	0.0016509405763	0.00130398681259	0.0067482332632	0.00178275707107	0.0076650081233	0.0131360589356	0.0762799706477	0.508361303743	0.379716472134
l	0.00260156428505	0.00114631987543	0.00110707847086	0.0044446119544	0.00106470818369	0.00539573701443	0.0068147308452	0.0475349498826	0.497710421248	0.432179837378
ù	0.00138535137502	0.000697521455143	0.00088904782362	0.00621679265147	0.000496484634563	0.00216462807814	0.00419466648173	0.0212186079609	0.380316347083	0.582420512459
</S>	0.00111474560751	0.000492562797571	0.00057329111181	0.00735142982573	0.000376143987281	0.00139278418907	0.00348523754086	0.0147916814805	0.373323783541	0.597098306229
