 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.8239434	0.02685934675	0.0320832915	0.0296398	0.0271447625	0.03115349	0.02917594
i	0.598023763333	0.153374382417	0.0529494015	0.0494420543333	0.0484115798333	0.0486406866667	0.0491581633333
ù	0.251515222111	0.452801994139	0.0651880565	0.0549827577778	0.0541921466111	0.0665500688889	0.0547697837778
m	0.121038865037	0.492983488046	0.0729639328333	0.0613487289259	0.050789640537	0.132416122963	0.0684592239259
è	0.075519592679	0.520079832682	0.0841732106111	0.0615664869753	0.0470645538457	0.140986791988	0.0706095049753
s	0.0348218452263	0.660393167561	0.10576746187	0.0426907889918	0.0343133266152	0.077385032996	0.0446283606584
a	0.0200640890754	0.451582665854	0.364044070623	0.0455865679973	0.0310877075384	0.0523593756653	0.0352755305528
è	0.0079657612118	0.172822502285	0.667684453541	0.0519579326658	0.0330571105128	0.0363298675551	0.0301823741843
n	0.00277437350727	0.0639170474283	0.731942657847	0.0697401268886	0.0492029861709	0.0480017648517	0.0344210160614
a	0.00116874748576	0.0244053201194	0.597183785949	0.248575197296	0.0589966047236	0.0410795509506	0.0285907426871
v	0.00085676486192	0.0087242016498	0.330900745983	0.416627872432	0.164935394241	0.0218986886502	0.056056289229
à	0.000681478033973	0.00374465124993	0.215970132661	0.390329287477	0.282768941414	0.0362630398834	0.0702424644097
l	0.000344039531991	0.00194947851664	0.176645807554	0.389314199159	0.336636370471	0.0482480379611	0.0468620994699
i	0.00021055618133	0.00102938990555	0.076583261918	0.360054406386	0.475940990157	0.0428367416537	0.04334465849
è	0.000171944340443	0.000793736068517	0.0289262843727	0.296024695462	0.565701696719	0.0391497108846	0.0692319114967
n	0.000101249716814	0.00102452758951	0.0122203862576	0.211845803154	0.66316033224	0.0296556049615	0.0819920438322
a	0.000221343145605	0.00090158916317	0.00495813006587	0.095744220718	0.740159510747	0.0246484349872	0.133366697944
t	0.000771456035202	0.00162557328772	0.00349727730196	0.0444049432393	0.753192803582	0.0270092726624	0.169498644315
a	0.00171386394507	0.00275134706257	0.00387549900065	0.0299371210798	0.610211257861	0.0298449585541	0.321665969772
p	0.00168523398169	0.00612125222086	0.00322901813355	0.0233343676933	0.32596934762	0.057493411518	0.582167366591
p	0.0088072973939	0.0184523670736	0.00958274671118	0.0562587145644	0.25303517754	0.0657077198393	0.58815595553
è	0.0113188280646	0.0276388396912	0.0126852115704	0.0679668781881	0.195755698847	0.0376778532798	0.64695669851
t	0.00422711810487	0.0232458998971	0.00682658969013	0.0282877607294	0.100079649282	0.21085296376	0.62648005617
o	0.00171939590496	0.0137497516324	0.00356141723004	0.0118347952431	0.062197056294	0.265617461253	0.641320162057
</S>	0.00113521303248	0.0086525343162	0.00242346636502	0.00837294312155	0.034731387947	0.136329590626	0.808354881028
