 	viene	fabbricato	</S>
è	0.8590946	0.095207845	0.0456975865
r	0.780193966667	0.185109611667	0.0346964401667
k	0.582331275556	0.339138010556	0.0785307123889
e	0.329453991852	0.565000310185	0.10554570313
t	0.163009896284	0.725668276728	0.11132182671
e	0.098454874428	0.736395875576	0.165149242237
f	0.0613709691427	0.725275978525	0.213353047412
a	0.0866324773809	0.519166841508	0.394200689137
b	0.0911017521603	0.233528574169	0.675369663046
b	0.0595415037534	0.216315429723	0.724143054349
r	0.0632520979178	0.330360126574	0.606387784783
i	0.0666660993059	0.302927248858	0.630406661594
k	0.053865144102	0.164214821619	0.781920040531
à	0.034057194034	0.15032013254	0.815622700177
t	0.0278538454447	0.14816984418	0.823976346726
o	0.0174804489149	0.0847276897267	0.897791862242
</S>	0.0186703014575	0.0680809823634	0.913248681121
