 	non	sono	andati	</S>
e	0.815996285	0.0951203165	0.04642406	0.0424593615
n	0.559472248333	0.312569568833	0.0727484166667	0.0552097548333
è	0.225843270111	0.620091732944	0.0945866788889	0.0594783039444
c	0.086186326237	0.812655177648	0.063754988963	0.0374035263148
h	0.0392158136123	0.862021112549	0.059066832321	0.0396962747716
u	0.0277246165374	0.57205753085	0.342733800774	0.0574840899239
n	0.0162340843791	0.21506043295	0.703559616925	0.0651458749746
e	0.0101691206597	0.0860516909833	0.822546272308	0.0812329136582
p	0.0081675461199	0.0369433133278	0.797796710769	0.157092433219
a	0.02078717694	0.0335540521093	0.624930456923	0.320728304406
m	0.02560553718	0.0344419153698	0.357876068974	0.582076488135
è	0.0104471731933	0.0962996477899	0.298423162991	0.594830056045
n	0.0058074553311	0.116509250597	0.30825335433	0.569429982015
a	0.00370397597703	0.045754601999	0.202835591443	0.747705850672
</S>	0.00244780478851	0.0256635866995	0.169230790721	0.802657825336
