 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.623293505	0.2855847425	0.018122352	0.01332239215	0.01319928955	0.01296348315	0.0197085605	0.013805714
t	0.335596423333	0.4915700475	0.03659074	0.0280887203833	0.02689264885	0.02765273605	0.0255112978333	0.0280974416667
è	0.126398316778	0.647782795833	0.0662947063333	0.0391791444611	0.02826555395	0.03329889435	0.0215444079444	0.0372362132222
l	0.0489040836927	0.740213628611	0.0900280537778	0.0371077638204	0.0165138665167	0.02471325645	0.00968921204813	0.0328301134074
i	0.0355143003309	0.579977826204	0.278610887926	0.0340100396068	0.0152651030389	0.0200771948167	0.0107021827494	0.0258424164691
f	0.0310936528103	0.260797411068	0.566777162642	0.0420488635356	0.025085865013	0.0266260149389	0.0190471272498	0.0285238831564
a	0.0162281669701	0.0997112286893	0.637917574214	0.0964123698452	0.0423717783377	0.0386315559796	0.0303604990833	0.0383668490521
m	0.0109613294567	0.0404823476964	0.561838604738	0.155633863282	0.0620055894459	0.0656621819932	0.0337481280278	0.0696679610174
è	0.00458902215223	0.0252560680321	0.455583928246	0.272550534427	0.0602262281486	0.0743691326644	0.0226221090093	0.0848029653391
n	0.00223927350074	0.020380601244	0.404757476082	0.418328564809	0.0376112490495	0.0464469922215	0.0114781110031	0.0587577237797
o	0.00133625541691	0.008384417828	0.289207085694	0.47304370827	0.151722947683	0.0316548100738	0.00999701733437	0.0346537372599
o	0.00102457410897	0.003033690566	0.107408535931	0.35842977409	0.444527492561	0.0447649100246	0.0153952067781	0.02541577342
l	0.000392602306323	0.001107558512	0.0368810857437	0.194509334697	0.64663659752	0.0606206850082	0.0334954862594	0.0263566104733
i	0.000354377868774	0.000643584984	0.0168444216479	0.140767776899	0.63254171584	0.109294846669	0.0559219204198	0.0436313508244
m	0.000411602222925	0.000849663128	0.0105787932826	0.0950681589663	0.489154148613	0.22602972889	0.0585633461399	0.119344540275
i	0.000608819274308	0.000909609309333	0.00742586982753	0.0558592353221	0.446354209538	0.286894412963	0.0565217467133	0.145426056758
a	0.000579346245769	0.000616031476444	0.00562643044251	0.030235495774	0.364622339846	0.429886014321	0.0714027142378	0.0970316289193
f	0.000234798912923	0.000344113392148	0.0020518787175	0.0112706138247	0.169652979282	0.63418317144	0.111498574746	0.0707638753064
o	0.000238310854308	0.000468280790716	0.00105910240917	0.0054091715749	0.109020255761	0.505119337147	0.268833574915	0.109851947435
r	0.000272186158103	0.000738999676905	0.000757514723057	0.00309026189163	0.0755941649203	0.308685292382	0.433049914972	0.177811649145
à	0.000184013902701	0.000864175672302	0.000650352527686	0.00163122676388	0.0290593276401	0.197640275294	0.383740741657	0.386229889715
</S>	0.000134263626351	0.000954195486151	0.000820120463843	0.00140125563194	0.01740235332	0.103024254397	0.299920955828	0.576342619858
