 	non	mi	aspetti	che	non	vengo	</S>
m	0.43930095	0.088929456	0.0817467343	0.112783959	0.0438773818	0.1204868525	0.1128747439
ì	0.202939185	0.224902492667	0.1070442281	0.139984619667	0.0458460509333	0.145566004167	0.133717477967
m	0.114079188	0.288792574222	0.108885889367	0.142167253222	0.0230860503111	0.219314274722	0.103674795989
e	0.0920686973333	0.350755291407	0.096719440789	0.132920271074	0.0216677197704	0.224973382241	0.0808952173297
m	0.0791135327778	0.350468517802	0.0662425345963	0.142819463691	0.0189163314568	0.21546884808	0.126970817777
ì	0.0352088675926	0.140286165267	0.135191738199	0.29677640123	0.0124041246856	0.229864726027	0.150267985926
n	0.0191735868975	0.0661832937557	0.2192510794	0.476754967077	0.0119481068952	0.126279974009	0.0804089553087
e	0.00789201119917	0.0261889215852	0.232314303133	0.563960169026	0.0525517049651	0.0716258753363	0.0454669867696
k	0.00368752403972	0.0117538835751	0.186836527711	0.637752189675	0.069986959655	0.0499278537788	0.0400550972565
a	0.00157307446324	0.0048324134717	0.122474495904	0.598918959892	0.179163404552	0.0512855602596	0.0417521684188
e	0.000855696857747	0.00233299248157	0.0795615913013	0.372036043297	0.421407544851	0.0648554390865	0.0589507654729
n	0.000488082812582	0.00235218311819	0.0388950354338	0.168668025766	0.394793638284	0.326501963029	0.068301120491
è	0.000358848077194	0.0023671639014	0.0169546355779	0.0675750232553	0.176205908761	0.694854487676	0.0416839371637
r	0.000300085198731	0.0013275112958	0.0111184819593	0.0366239600851	0.076385295587	0.842716729225	0.0315279253879
k	0.000301929011244	0.0010390527986	0.0110746459864	0.0347283650284	0.0512671341957	0.838852209742	0.062736627796
u	0.000355277195415	0.0005508396662	0.0111874639955	0.0297220416761	0.0339607300652	0.572444065247	0.351779533932
m	0.000471594135138	0.000502804988733	0.0151339103318	0.014570299892	0.0167406714884	0.320923583749	0.631657121311
e	0.000665515801713	0.000975229329578	0.0153913242439	0.00824337873067	0.0290743489628	0.238676554583	0.706973650437
</S>	0.000902018600856	0.00140001956479	0.011384247822	0.00651029451534	0.0491901244814	0.169704967292	0.760908325219
