 	il	vestito	della	sposa	deve	essere	bianco	</S>
o	0.61845297	0.287998503	0.03157100685	0.012023208	0.012037143	0.0120978263	0.01270062465	0.01311878345
à	0.314057703333	0.287950971667	0.309930137283	0.0136366756667	0.0182987246667	0.0179010057667	0.0193012008833	0.01892362015
b	0.127707805111	0.108606684889	0.604646855761	0.0101470238889	0.0379177215556	0.0346627362556	0.0440846382944	0.03222655905
b	0.110547729037	0.0705428986297	0.488201065254	0.0141579922963	0.0837825071852	0.0710882087519	0.0982175627648	0.0634620576833
e	0.122137509679	0.115144179543	0.423783091751	0.0285825724321	0.0828477183951	0.0696406132506	0.0949022875883	0.0629620375611
t	0.0751195452263	0.117014584514	0.583258130584	0.0346557428107	0.0493823067984	0.0445910580835	0.0539267215294	0.0420519185204
o	0.0413732730754	0.109782562838	0.560506356861	0.139093938937	0.0386393295995	0.0359776916945	0.0398740781765	0.0347527981735
u	0.0236917710918	0.101712999279	0.318167300287	0.439860746312	0.0319486338665	0.0276547265648	0.0285175993922	0.0284462213912
k	0.00838609496393	0.0465311193597	0.129288721429	0.679056815437	0.0271015442888	0.0355569105216	0.0373367117974	0.0367420727971
o	0.00418621965464	0.0253729287199	0.0611635638097	0.737703861812	0.0404541744296	0.0440490935072	0.0412434705991	0.0458267089324
r	0.00275245329821	0.0174564533066	0.0327354356032	0.751129927271	0.0527951788099	0.0480519005024	0.0447947661997	0.0502839143108
a	0.0014352341794	0.0086386705022	0.0180431208011	0.697827425757	0.119763445603	0.0531403608341	0.0456649427332	0.0554868371036
s	0.0010489447598	0.0055937145674	0.010424898867	0.569193418586	0.180857105201	0.0756835936114	0.0822069349111	0.0749913713679
ì	0.00103403751993	0.0027933960558	0.00908446162233	0.351725442862	0.3563077184	0.100187573204	0.10603652497	0.0728308131226
u	0.00107690697331	0.00213827145193	0.00543496104078	0.174210494287	0.591631989467	0.105010801401	0.06751584499	0.0529807080409
è	0.000585355211103	0.00107796403198	0.00224241104026	0.0976564790957	0.695848596489	0.104426932134	0.0486640159967	0.0494981936803
n	0.000306745160368	0.00038080527266	0.000973253646753	0.0420267100319	0.704406762163	0.129016010711	0.0801002029989	0.0427894535601
a	0.000418606356789	0.00048371973822	0.000680816922251	0.0245773690106	0.589780220721	0.223659320237	0.100850014333	0.0595499001867
n	0.000682527235596	0.000548162009407	0.00075898764075	0.0231565880035	0.393902673574	0.355716063412	0.102592518111	0.122642453396
e	0.0012336079952	0.000691642599802	0.000884381746917	0.0208826673345	0.196623867858	0.394241824471	0.163261386037	0.222180587799
à	0.00145649586507	0.000720556534267	0.000747101522306	0.0110101300115	0.108926862619	0.382203368157	0.236932895346	0.2580025826
s	0.000964396155023	0.000265785747422	0.000649762214102	0.0042444333305	0.0637777542063	0.343343412719	0.387550275115	0.1992041842
p	0.000629471191674	0.000107316639474	0.00141322937137	0.0021909589035	0.0515291880688	0.28836135424	0.441296085038	0.214472414733
r	0.000991801903891	8.3347305158e-05	0.00159699600712	0.0017933066345	0.0450138470229	0.208608135413	0.325292755013	0.416619838244
o	0.00240004246796	0.000254024081719	0.00126665175237	0.0013022701215	0.016972372941	0.097520792471	0.356093251671	0.524190632748
</S>	0.00336520923398	0.00041238490586	0.00146275127618	0.00111943047575	0.0093759158705	0.0653281412355	0.435033425835	0.483902796374
