 	e	che	cucino	</S>
c	0.84829804	0.050808052	0.05838037	0.04251352
e	0.674466083333	0.184771483333	0.0728039633333	0.06795846
p	0.475621157778	0.360500644444	0.0767234527778	0.08715474
u	0.364141615926	0.446688168148	0.0926982992593	0.09647191
m	0.196002303309	0.590193249383	0.0956452764198	0.118159176667
a	0.12383504577	0.564658376461	0.161857805473	0.149648755556
r	0.0869941572567	0.397941732154	0.330108378491	0.184955721852
è	0.0533349477522	0.289126990718	0.516401936164	0.141136166284
o	0.0387281339841	0.155799914573	0.722672665388	0.0827993377613
</S>	0.0205079090921	0.0919946537865	0.810377012694	0.0771204638806
