 	vuole	vuole	mangiato	caldo	</S>
t	0.90022275	0.038665962	0.01746294825	0.0275410545	0.016107321
è	0.828231116667	0.103173956	0.02334719975	0.0222208681667	0.0230268863333
l	0.667606355556	0.266131185333	0.0253145435833	0.0155064930556	0.0254413854444
i	0.425784415185	0.512876418444	0.0264366345278	0.0131217946852	0.0217807174815
t	0.203120670728	0.720214806148	0.0328856001759	0.0202703642284	0.0235086061605
è	0.117117645909	0.795180192049	0.041231216392	0.0207382644095	0.0257327583868
l	0.0908847086363	0.797040220683	0.072285026464	0.0129661708032	0.0268238914623
i	0.0416965201454	0.579591903561	0.330390255488	0.0189157852677	0.0294055304874
f	0.0149903698485	0.24975404052	0.641100838496	0.0485483784226	0.0456063504958
a	0.00756249208283	0.112312866173	0.739100012832	0.0832943294742	0.0577302791653
m	0.00544864049428	0.0623094686243	0.652417230944	0.162262581825	0.117562094055
è	0.0162226536981	0.0965544461081	0.536055153648	0.195125423942	0.156042339352
n	0.020531402566	0.111841551369	0.587929987883	0.145130596314	0.134566444451
o	0.00911172428867	0.0453189229897	0.465765524294	0.310653183771	0.16915060815
t	0.00396028042956	0.0171243596966	0.189990326765	0.56709632459	0.22182870605
r	0.00241517500985	0.0075324607322	0.0970304845883	0.46848525153	0.424536638683
e	0.00221929306995	0.00480541871073	0.0647893525294	0.21093141251	0.717254536228
m	0.00141464519998	0.00249865623691	0.0247242679431	0.0973236428367	0.874038798743
m	0.00106565220999	0.0023130794123	0.0185270107477	0.158846140946	0.819248109581
ò	0.00100182818333	0.00261930253743	0.0208299755826	0.301993023649	0.673555856527
</S>	0.000822360661665	0.00204331966872	0.0175234507913	0.354355446824	0.625255408264
