 	se	vieni	ogni	giorno	a	casa	mia	compra	il	pane	</S>
a	0.50564303	0.299119265	0.064840632	0.018016095	0.016207333	0.0160292125	0.0159065315	0.0159466055	0.0157645595	0.016322293	0.016204422
n	0.309978854	0.198721063333	0.216178787333	0.0434918786667	0.033868413	0.0345308648333	0.0339116228333	0.0341077825	0.0303532185	0.0308212093333	0.03403628
è	0.112130225	0.0846518594443	0.453406709111	0.0713097815556	0.0410838956667	0.0477198082778	0.0414352876111	0.0445479141667	0.0301474256667	0.0307606724444	0.0428064013333
r	0.0431662747333	0.0470402571481	0.59350455637	0.106194627185	0.0293867052222	0.0495658294259	0.029826438537	0.0382455027222	0.0145854307222	0.0150700179815	0.0334143651111
k	0.0272072496444	0.051737831716	0.52893498879	0.147273739062	0.0286300120741	0.0788273264753	0.0299084765123	0.0468458309074	0.0118991099074	0.0122655008272	0.0364699783704
e	0.0303427555481	0.073572047572	0.41636599293	0.213759586354	0.034802638358	0.0790331848251	0.0321479665041	0.0474349246358	0.0171435533025	0.0174473872757	0.0379499721235
s	0.020253937916	0.0500783348573	0.42630084431	0.272755925451	0.0389208471193	0.0479502656084	0.030956116168	0.0364831852119	0.0214038454342	0.0218124030919	0.0330842617078
e	0.0146511617053	0.0235982806191	0.349189688103	0.39401161515	0.0563980807064	0.0353881358695	0.0276516323893	0.029674465404	0.0203484228114	0.0207406470306	0.0283478682359
k	0.0123514388484	0.0138281468197	0.170264226701	0.59365380505	0.0740224935688	0.0288960206232	0.0236635314631	0.0240630071347	0.0177713516038	0.0180722126769	0.023413760412
a	0.00865725589613	0.0069711992199	0.076640380567	0.546633775017	0.210374894523	0.0354815682077	0.0258781081544	0.0250287767116	0.0195863725346	0.019904217559	0.0248434544707
i	0.00741748734404	0.00458859095997	0.038025993489	0.305003141672	0.467733048174	0.0567215780692	0.0283139307181	0.0238596845705	0.0207788765115	0.0213548095197	0.0262028898236
m	0.00249284698368	0.00156275545466	0.013588075163	0.149923715557	0.565277416058	0.0967479260231	0.0478848715727	0.0392207958568	0.0213973551705	0.0222032658399	0.0397009822745
è	0.00100770681823	0.00065990044622	0.0102603000877	0.117876110186	0.505281988686	0.169104385341	0.0604675591909	0.0516246152856	0.0181906604902	0.01899123528	0.0465355074248
r	0.000514274524077	0.000438210062073	0.00893713774923	0.173166623395	0.435329579562	0.252442465114	0.043393769397	0.0358653020952	0.00970841293007	0.01036943376	0.0298347678083
i	0.000347901092692	0.000395492887358	0.00359455830308	0.148379281798	0.377927253187	0.320050331705	0.0803229974657	0.0278439503651	0.0110636836434	0.0107365042533	0.0193380606028
è	0.000289695215231	0.000290263271786	0.00168446582103	0.0552034385993	0.297119927729	0.429183010568	0.137276842489	0.034225869455	0.0125680400811	0.0126476960844	0.0195108028676
s	9.96504050203e-05	0.000100880724495	0.000765634560343	0.0240363075331	0.23213155591	0.526368903523	0.150595944163	0.0331410888183	0.00740577166037	0.00848257012813	0.0168717469559
s	3.71127482834e-05	4.3194213065e-05	0.000466153186781	0.0142814671777	0.21237733197	0.564884934508	0.129549168054	0.0437676219394	0.00655699465346	0.00796584914271	0.0200701963186
u	5.48739724278e-05	5.12383180217e-05	0.00053469106226	0.00775483689257	0.148598231657	0.438191544836	0.172797502685	0.106143837313	0.0223349342178	0.0299664233809	0.0735719167729
m	5.91991777093e-05	4.65953069406e-05	0.00120758578742	0.00841492813086	0.0720884088857	0.252726478279	0.318125867562	0.142149129104	0.0326390354059	0.0460245704603	0.126518228924
u	4.16283974698e-05	3.34495849135e-05	0.00125699278914	0.00883818637695	0.0493806146286	0.169187099426	0.357857209187	0.215631049701	0.0491375511353	0.0426548851534	0.105981335308
a	3.41474999566e-05	2.83538609712e-05	0.000578336729713	0.00418708255898	0.0374215205429	0.0895802864753	0.248986113062	0.4058559099	0.0842021423784	0.0544236107178	0.0747024991027
v	1.43119287855e-05	1.06455553237e-05	0.000359519363238	0.00227442945299	0.0153478350143	0.0476335501584	0.214761474354	0.482962486633	0.0909419307928	0.0596407522393	0.0860530680342
ò	9.1656017285e-06	6.2893693079e-06	0.000388593677746	0.00269138131766	0.0157046685048	0.0640755280528	0.198609841451	0.486096145544	0.0920684735976	0.0519310777464	0.0884188446781
r	1.79494723762e-05	5.43026610263e-06	0.000331415819249	0.00296548437255	0.0153504621016	0.0842963260176	0.14687442715	0.470151535181	0.151329484533	0.0695667162488	0.0591107635594
a	2.01966192587e-05	3.55576846754e-06	0.000289790743083	0.00197975870418	0.00608415570053	0.0563706003392	0.111371045717	0.382439398394	0.236455961511	0.148864184083	0.0561213495198
s	9.83159731957e-06	1.77064946585e-06	0.000411395401028	0.00115720758139	0.00322445870018	0.0242625941131	0.093031035239	0.343086232798	0.258977873837	0.202213718028	0.0736239031733
o	1.00238765399e-05	1.96050683195e-06	0.000494917600343	0.000919374440463	0.00210267376673	0.0125722388044	0.0787838157463	0.245782098933	0.242185447946	0.304620129343	0.112527359391
t	1.22964968466e-05	2.14807264398e-06	0.000422623820114	0.000756627660154	0.00127196880558	0.0054683935348	0.0474405975821	0.145254404311	0.303163802649	0.367602729781	0.128604449797
o	1.16199819489e-05	1.76434044799e-06	0.000377375340038	0.000598976996718	0.000835435185193	0.0028556027116	0.0345945413607	0.10723213277	0.30291182755	0.412324929927	0.138255839932
t	4.58489963163e-05	3.63601928266e-06	0.000426023586679	0.000826412775573	0.000638546268398	0.00222747127053	0.0203688872869	0.0652348422567	0.273330472517	0.466996136642	0.169901776644
s	5.77192907721e-05	7.11853669422e-06	0.000504047502226	0.00144266082519	0.000624184462799	0.00254404392351	0.0182831780956	0.0991681774189	0.257364464172	0.396695732214	0.223308708881
o	0.000188320078924	1.88171965647e-05	0.00380805954741	0.0155173635417	0.0020893194876	0.00777758380784	0.0204808493652	0.108689824473	0.177738728057	0.354613604071	0.309077549627
m	0.000457983542975	0.000235550078855	0.00490458839914	0.0210179658472	0.00252061436253	0.0118678596026	0.0203846871217	0.0558498221577	0.115638186019	0.40852821469	0.358594543209
ì	0.000427020250992	0.000304220646285	0.00189407285305	0.0092483246824	0.00108811340751	0.00855037340087	0.0111765246072	0.0265956710526	0.0649809320063	0.59413811823	0.281596659403
</S>	0.000280127630496	0.000166018503142	0.00101291418152	0.0057512844412	0.000591786333755	0.00639532950044	0.0071159506536	0.0196000880263	0.0490108860031	0.718122959115	0.191952697201
