 	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a43	0.0875749	0.0927998	0.095302	0.0957089	0.0957257	0.0952407	0.0956002	0.0875829	0.0866241	0.0852762	0.0825646
a20	0.0310236	0.0773743	0.10575	0.115267	0.135025	0.133396	0.136234	0.124503	0.0916485	0.0385337	0.0112441
a31	0.0639324	0.0967257	0.105529	0.108697	0.11279	0.111975	0.110396	0.103546	0.0982947	0.0626524	0.025461
a39	0.101958	0.12104	0.125844	0.131122	0.132607	0.123547	0.109771	0.0652993	0.057109	0.0223113	0.0093913
a31	0.0989941	0.0984224	0.098955	0.102535	0.103388	0.101708	0.0947101	0.0831395	0.0950374	0.0779293	0.0451806
a46	0.11843	0.121795	0.123417	0.128348	0.128336	0.118131	0.103854	0.0558318	0.0571913	0.0315762	0.0130904
a37	0.0987884	0.0984658	0.0988854	0.101698	0.102295	0.100527	0.0949882	0.083124	0.0914098	0.0781961	0.0516222
a31	0.0998391	0.100711	0.101461	0.104481	0.10518	0.103294	0.097132	0.0834101	0.0905893	0.0717037	0.0421985
a13	0.11942	0.116658	0.117801	0.125328	0.126093	0.117057	0.0996849	0.0570321	0.0645424	0.0391909	0.017192
a11	0.101914	0.101008	0.101627	0.10556	0.106402	0.10411	0.09619	0.0808011	0.0906757	0.0710388	0.0406727
a31	0.0976193	0.0965337	0.0970934	0.100599	0.101395	0.0997436	0.0928371	0.081781	0.0937705	0.0818245	0.056803
a20	0.117133	0.115264	0.116376	0.12224	0.122707	0.1152	0.100724	0.062533	0.0651671	0.0421828	0.0204742
a31	0.104342	0.105195	0.105998	0.108852	0.109376	0.106861	0.100436	0.0834356	0.0831795	0.0600272	0.0322968
a41	0.119459	0.119407	0.120726	0.125169	0.124914	0.115945	0.102344	0.0593116	0.0568237	0.0373743	0.018527
a31	0.106576	0.107317	0.108122	0.110877	0.111266	0.10823	0.101647	0.081595	0.0783959	0.0555228	0.0304508
a24	0.120169	0.121984	0.123621	0.12694	0.126127	0.116077	0.103397	0.0569718	0.0516609	0.0350529	0.0179985
a31	0.113149	0.11775	0.119535	0.122539	0.12251	0.115674	0.105303	0.0706491	0.0582222	0.036877	0.0177915
a10	0.119251	0.122091	0.124289	0.127376	0.126382	0.116016	0.10382	0.0560599	0.0501479	0.0353312	0.0192356
a31	0.110741	0.11302	0.114767	0.118016	0.118174	0.11283	0.103991	0.0731575	0.0653632	0.0448471	0.0250931
a46	0.11882	0.124358	0.127575	0.130321	0.128896	0.116796	0.104459	0.0522228	0.0455528	0.0328889	0.0181117
a20	0.0986861	0.107148	0.108475	0.107647	0.107307	0.103797	0.10578	0.0859623	0.0736259	0.0603354	0.0412365
a46	0.096018	0.099466	0.101087	0.101968	0.102185	0.10063	0.098944	0.0888476	0.0849523	0.0723551	0.0535485
a31	0.0915349	0.0958652	0.0975606	0.0989978	0.0994162	0.0972931	0.0950989	0.0849062	0.086534	0.0820973	0.0706957
a7	0.106722	0.114936	0.119857	0.122677	0.122346	0.115011	0.10689	0.0668687	0.057137	0.0415348	0.02602
a31	0.0932419	0.09999	0.104568	0.10824	0.109266	0.105794	0.099421	0.0819893	0.083631	0.0681173	0.0457403
a39	0.102872	0.118255	0.127456	0.131168	0.130572	0.119159	0.108773	0.0576271	0.0473008	0.0352704	0.0215487
a31	0.0904438	0.108974	0.113589	0.11089	0.110462	0.104731	0.111573	0.0869597	0.0674537	0.0559436	0.0389807
a15	0.102471	0.129127	0.143291	0.144718	0.141395	0.120549	0.111727	0.0376283	0.0291412	0.0244074	0.015545
a20	0.0810762	0.118829	0.127555	0.117795	0.116043	0.104649	0.126306	0.0804493	0.0522987	0.0438466	0.0311524
a35	0.0822805	0.0987817	0.10734	0.107327	0.108051	0.104311	0.106932	0.0909624	0.0778581	0.0669436	0.0492138
a28	0.0738936	0.0955988	0.107634	0.108273	0.109708	0.104081	0.107073	0.0879298	0.0777827	0.071491	0.0565351
a31	0.0671035	0.0870047	0.102676	0.107777	0.110674	0.105705	0.10108	0.0853029	0.0883522	0.0813603	0.0629642
a0	0.0598606	0.09367	0.123861	0.131958	0.13506	0.124259	0.117636	0.0761368	0.0628764	0.0467788	0.0279036
a31	0.066783	0.105152	0.123223	0.11749	0.118134	0.10666	0.123958	0.0863819	0.0606946	0.0530138	0.0385077
a20	0.046229	0.0952153	0.14826	0.156654	0.160162	0.134774	0.136875	0.0507631	0.0315869	0.0248214	0.0146594
a41	0.0612846	0.112492	0.138699	0.128128	0.128266	0.111249	0.13877	0.0806749	0.0457337	0.0341714	0.0205331
a39	0.052004	0.0962354	0.128344	0.12473	0.127891	0.113103	0.132154	0.0870792	0.058604	0.0486554	0.0311992
a31	0.0451679	0.0930342	0.131107	0.123468	0.1276	0.109528	0.139321	0.0873845	0.0566266	0.0504647	0.0362983
</S>	0.028098	0.0708096	0.141153	0.15705	0.167774	0.140012	0.147629	0.0634985	0.0388593	0.0294289	0.0156883
