 	la	pasta	vuole	sale	</S>
a31	0.178939	0.19854	0.179811	0.22702	0.21569
a15	0.252478	0.215016	0.137972	0.253806	0.140728
a31	0.117915	0.209658	0.210894	0.289098	0.172435
a13	0.075825	0.119387	0.110258	0.423245	0.271285
a31	0.0981119	0.183453	0.186341	0.326092	0.206002
a6	0.0613369	0.0926825	0.0838347	0.432387	0.329759
a31	0.128291	0.221705	0.204808	0.261368	0.183827
a46	0.0652661	0.0695234	0.0518089	0.386786	0.426616
a31	0.123005	0.211056	0.149498	0.267953	0.248488
a46	0.0379748	0.0387366	0.0313535	0.326843	0.565092
a20	0.0631649	0.158903	0.119324	0.298101	0.360507
</S>	0.0391224	0.101927	0.0858412	0.319965	0.453145
