 	non	ho	cosa	è	da	mangiare	</S>
a31	0.132945	0.124552	0.0814421	0.0749135	0.142371	0.220206	0.223571
a8	0.284989	0.175389	0.102692	0.12434	0.163121	0.110694	0.0387759
a31	0.0949493	0.0705078	0.0915764	0.145776	0.223973	0.225475	0.147743
a37	0.127524	0.0624899	0.0503358	0.100931	0.281513	0.26558	0.111627
a20	0.0958477	0.0546287	0.0471737	0.0904296	0.248791	0.292895	0.170234
a31	0.0864485	0.0554023	0.0543354	0.099735	0.235548	0.279562	0.188968
a17	0.102255	0.0385357	0.0196973	0.0405324	0.245579	0.354196	0.199203
a20	0.0843213	0.0645557	0.0868821	0.137724	0.220977	0.230146	0.175393
a31	0.0903207	0.0697711	0.0874308	0.136334	0.220214	0.226263	0.169666
a39	0.195635	0.0508997	0.0148244	0.0212968	0.175178	0.318383	0.223783
a35	0.0660942	0.0613559	0.101693	0.146649	0.228202	0.23045	0.165557
a39	0.0626457	0.0600573	0.0858427	0.120114	0.216636	0.247173	0.207531
a46	0.0619381	0.0621428	0.0880719	0.127151	0.209661	0.239846	0.21119
a35	0.0473158	0.0487579	0.082856	0.139662	0.209545	0.243955	0.227909
a31	0.0542856	0.0552844	0.0725215	0.118815	0.208775	0.257265	0.233054
</S>	0.159312	0.0387183	0.00702448	0.00795769	0.0728529	0.396874	0.31726
