 	se	vuoi	vivere	non	essere	grasso	bisogna	mangiare	poco	</S>
a31	0.101427	0.108541	0.109125	0.10925	0.10983	0.104014	0.077186	0.0947273	0.0952005	0.0906989
a20	0.0352138	0.063045	0.158866	0.241343	0.360593	0.0717394	0.00783466	0.0464964	0.0112183	0.00365082
a31	0.117612	0.144652	0.148683	0.117928	0.137556	0.0628874	0.011262	0.127325	0.0914146	0.0406798
a28	0.129884	0.166867	0.174194	0.141475	0.164677	0.065827	0.00440308	0.092415	0.0437686	0.0164889
a37	0.121975	0.154372	0.160166	0.128137	0.14937	0.0656643	0.00787903	0.117249	0.069107	0.0260807
a24	0.124124	0.145704	0.147705	0.11816	0.136905	0.0628535	0.00874299	0.122157	0.0900662	0.0435819
a31	0.119255	0.143799	0.14781	0.123697	0.139843	0.0698365	0.0104586	0.121174	0.0856049	0.0385221
a20	0.141972	0.163688	0.164501	0.13022	0.152317	0.0635156	0.00363855	0.095617	0.0577707	0.0267609
a1	0.123766	0.140366	0.143446	0.130842	0.140417	0.0855037	0.0140888	0.110154	0.0761627	0.0352541
a31	0.113386	0.123765	0.12428	0.108496	0.119172	0.065968	0.0224527	0.114935	0.110129	0.0974174
a28	0.142493	0.158088	0.159453	0.140363	0.154307	0.0814505	0.00378622	0.0830708	0.0515855	0.0254018
a24	0.124011	0.140272	0.141662	0.120676	0.134806	0.068919	0.0112028	0.116141	0.0909853	0.0513255
a28	0.123195	0.143744	0.146181	0.123376	0.138639	0.0698822	0.0100178	0.116511	0.085354	0.0430988
a24	0.117854	0.136681	0.137539	0.109777	0.12717	0.058869	0.0115055	0.121263	0.105771	0.0735697
a46	0.118412	0.138955	0.141158	0.117235	0.132809	0.0660298	0.0123152	0.121621	0.0970719	0.0543918
a14	0.114045	0.126319	0.127014	0.110414	0.122283	0.0626276	0.0209712	0.112212	0.107314	0.0968009
a31	0.111227	0.119182	0.119608	0.108903	0.116143	0.0747744	0.0287082	0.113438	0.109155	0.0988618
a11	0.129812	0.147892	0.14848	0.123046	0.139515	0.0680751	0.00536776	0.107815	0.0802064	0.0497909
a31	0.115801	0.127482	0.128345	0.115244	0.12482	0.0709558	0.0220831	0.11227	0.101923	0.0810762
a47	0.138953	0.157315	0.158116	0.138724	0.152944	0.0794156	0.00295292	0.0812774	0.0554811	0.0348215
a31	0.116357	0.137712	0.141468	0.135956	0.148535	0.0700375	0.0258759	0.0886585	0.0769856	0.0584147
a24	0.152293	0.167392	0.168244	0.157378	0.170309	0.0980217	0.00142919	0.0384125	0.028594	0.0179274
a1	0.135156	0.155347	0.158666	0.147476	0.158416	0.0891452	0.00775255	0.0768276	0.0473	0.0239136
a20	0.118875	0.141287	0.144022	0.131401	0.147214	0.058816	0.0148206	0.0922483	0.0826292	0.0686874
a31	0.114251	0.125639	0.126574	0.118061	0.125089	0.0775394	0.0240183	0.108021	0.0989768	0.0818308
a20	0.13795	0.166826	0.168535	0.14566	0.163605	0.0725766	0.00159982	0.0696021	0.046248	0.0273981
a37	0.124202	0.14708	0.149557	0.138145	0.150869	0.0703499	0.0106666	0.0929555	0.0713568	0.0448192
a24	0.113995	0.145009	0.147452	0.127192	0.144133	0.0556136	0.00822523	0.10349	0.0889152	0.0659748
a29	0.112071	0.150882	0.153599	0.119119	0.142842	0.0481292	0.00667142	0.112992	0.0930056	0.0606886
a20	0.102242	0.149674	0.153162	0.122455	0.14578	0.0434172	0.00583996	0.106652	0.0944979	0.0762788
a10	0.103873	0.147471	0.151222	0.129335	0.149203	0.047042	0.0076564	0.101164	0.0898949	0.0731381
a31	0.0891687	0.158405	0.164273	0.124195	0.155303	0.0329787	0.00403855	0.1024	0.0910448	0.0781924
a17	0.0883974	0.17803	0.186858	0.158078	0.185116	0.0457739	0.000790035	0.0720002	0.0508825	0.034074
a20	0.0859052	0.164908	0.178103	0.152332	0.208078	0.0278549	0.00673343	0.0656432	0.0581283	0.052314
a28	0.0793528	0.164997	0.176377	0.153948	0.190969	0.0301291	0.00463006	0.0748062	0.0654075	0.0593831
a0	0.0644629	0.1793	0.195267	0.140004	0.197025	0.017893	0.002144	0.0769972	0.0662552	0.0606522
a18	0.0686737	0.175604	0.191346	0.14556	0.20415	0.0187228	0.0031348	0.07205	0.0627472	0.0580113
a33	0.067753	0.172772	0.188015	0.15228	0.202299	0.0218255	0.00291254	0.0721612	0.0626016	0.0573796
a20	0.0694772	0.15764	0.178407	0.147072	0.253288	0.0230384	0.00828198	0.0576292	0.05323	0.0519358
a31	0.0701137	0.163298	0.176283	0.157978	0.19243	0.0309764	0.00532304	0.0744217	0.0658989	0.0632776
a8	0.032242	0.187475	0.224626	0.175161	0.236831	0.0191614	0.00026304	0.0499059	0.0397866	0.0345482
a23	0.0620419	0.158497	0.181872	0.147131	0.266211	0.0200939	0.00693983	0.0559813	0.0512293	0.0500031
</S>	0.0546551	0.157319	0.182635	0.157215	0.270234	0.0217068	0.00839163	0.0523023	0.0475925	0.0479477
