 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.175507	0.0295961	0.134432	0.13399	0.202285	0.324189
a20	0.400756	0.226083	0.254767	0.0841635	0.0271301	0.0070997
a31	0.11632	0.132695	0.23247	0.22361	0.206261	0.0886439
a28	0.165581	0.156426	0.2657	0.219488	0.15638	0.0364255
a31	0.105523	0.11084	0.214363	0.212796	0.234788	0.12169
a13	0.12068	0.09614	0.216445	0.207954	0.259618	0.0991625
a18	0.099321	0.0842571	0.203766	0.20649	0.244948	0.161217
a31	0.098576	0.0532689	0.201125	0.202848	0.23803	0.206151
a27	0.120432	0.0506455	0.167266	0.163831	0.313038	0.184787
a31	0.126861	0.0373564	0.205632	0.191541	0.231733	0.206876
a20	0.222059	0.0281286	0.121241	0.100308	0.316255	0.212009
a31	0.165762	0.0169579	0.159592	0.123999	0.275858	0.257831
a39	0.266391	0.00610074	0.054653	0.0391963	0.272433	0.361227
a31	0.224235	0.013406	0.0640958	0.0458344	0.246077	0.406352
a33	0.278298	0.00392797	0.0265421	0.0154982	0.173221	0.502513
</S>	0.1862	0.00963484	0.0445223	0.0297899	0.162529	0.567324
