 	perché	aveva	lavorato	molto	</S>
a46	0.236134	0.167754	0.146605	0.231579	0.217927
a31	0.335622	0.445984	0.183355	0.0253035	0.00973517
a17	0.517654	0.251137	0.201191	0.0185314	0.0114859
a31	0.252118	0.213467	0.305043	0.163424	0.065948
a37	0.463609	0.146645	0.282002	0.071211	0.0365319
a31	0.270044	0.136058	0.337541	0.180592	0.0757654
a18	0.347888	0.0870905	0.295064	0.182914	0.0870435
a10	0.309833	0.158373	0.300339	0.161581	0.0698734
a31	0.235812	0.121523	0.299314	0.233161	0.110189
a46	0.315282	0.0740419	0.276553	0.22286	0.111264
a20	0.251674	0.222199	0.160608	0.22138	0.144139
a11	0.212849	0.180015	0.192364	0.245284	0.169488
a18	0.178104	0.159774	0.184581	0.270972	0.206569
a31	0.179016	0.160048	0.175672	0.271242	0.214022
a0	0.293138	0.0873545	0.218857	0.237802	0.162848
a31	0.198872	0.208903	0.106665	0.246595	0.238964
a8	0.394393	0.0701986	0.114862	0.222847	0.1977
a31	0.165366	0.186446	0.107773	0.221066	0.31935
a7	0.490975	0.0411935	0.0313506	0.189471	0.247009
a31	0.2391	0.132486	0.0648379	0.234035	0.329541
</S>	0.390347	0.0245648	0.0127095	0.194452	0.377927
