 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
a8	0.114106	0.158875	0.0978747	0.136156	0.0863509	0.111129	0.0950283	0.0861359	0.114344
a23	0.0545209	0.176428	0.115815	0.178276	0.168863	0.170613	0.115648	0.0131589	0.00667665
a31	0.103854	0.151415	0.110649	0.139547	0.134281	0.143219	0.131381	0.0531732	0.0324804
a28	0.054153	0.203158	0.114608	0.1966	0.191793	0.177997	0.0564108	0.00308696	0.00219355
a20	0.124735	0.157836	0.0969607	0.131677	0.140229	0.160498	0.132062	0.0370032	0.0189993
a31	0.110385	0.154318	0.0986125	0.133669	0.140386	0.157311	0.138466	0.044101	0.0227507
a8	0.122064	0.198884	0.102662	0.149536	0.146111	0.170924	0.0892742	0.01237	0.00817533
a31	0.122331	0.140297	0.0799503	0.113461	0.115768	0.136879	0.131107	0.0897268	0.0704782
a20	0.147461	0.19904	0.0977603	0.139068	0.128799	0.158381	0.0895099	0.0242143	0.0157682
a31	0.132453	0.172766	0.0831419	0.127627	0.127487	0.161299	0.127497	0.042051	0.025677
a36	0.150901	0.20231	0.090044	0.129158	0.115564	0.160743	0.0978388	0.030929	0.0225115
a24	0.133936	0.171987	0.0833658	0.129725	0.122987	0.151369	0.124348	0.0492879	0.0329949
a37	0.13126	0.171376	0.0868574	0.131398	0.128039	0.156242	0.120658	0.0448161	0.0293539
a27	0.126396	0.161603	0.0696002	0.11321	0.111617	0.151969	0.13473	0.0714972	0.059378
a8	0.117284	0.142651	0.0711985	0.110139	0.101743	0.12424	0.120622	0.0973316	0.11479
a23	0.115581	0.14985	0.0626813	0.105686	0.0919939	0.117076	0.11409	0.0965012	0.146541
a31	0.115829	0.149286	0.0649214	0.106995	0.0916127	0.114742	0.111832	0.0960256	0.148756
a37	0.12724	0.148574	0.0835862	0.118351	0.111761	0.134809	0.119185	0.0797427	0.0767516
a29	0.12111	0.143573	0.073908	0.111508	0.11012	0.135415	0.127345	0.089822	0.0871996
a31	0.115355	0.136872	0.0699227	0.106134	0.105591	0.131795	0.126572	0.0991618	0.108597
a13	0.138718	0.163896	0.0900323	0.129492	0.115323	0.1364	0.105606	0.0599292	0.0606037
a31	0.120666	0.157474	0.0691009	0.114368	0.0949812	0.11896	0.112545	0.0872486	0.124656
a8	0.154902	0.192299	0.101704	0.150246	0.111738	0.125471	0.0740098	0.040253	0.0493771
a31	0.107424	0.251561	0.0520591	0.0973645	0.0693496	0.09032	0.084544	0.0662277	0.18115
a21	0.15951	0.228895	0.0955669	0.164578	0.0980274	0.113095	0.0568972	0.0314412	0.0519891
a31	0.100445	0.284249	0.0469268	0.0924608	0.0681454	0.0909734	0.0838723	0.0614578	0.171469
a29	0.156978	0.28917	0.0773418	0.17224	0.0777026	0.100338	0.0448389	0.0232303	0.0581606
a31	0.114083	0.31836	0.0435775	0.114583	0.0677149	0.103519	0.0774802	0.0394477	0.121234
a46	0.139075	0.405115	0.0552368	0.168312	0.0489006	0.0751458	0.0294127	0.0135846	0.0652177
a31	0.0906285	0.315138	0.0530422	0.0941652	0.0746605	0.0952169	0.0855332	0.0596896	0.131926
a49	0.11328	0.494784	0.0473969	0.158958	0.032092	0.0541406	0.0201215	0.00888933	0.0703378
a3	0.0940507	0.450711	0.0413446	0.110626	0.0589221	0.0889497	0.0508858	0.0221279	0.0823824
a18	0.0726042	0.474694	0.0347795	0.101711	0.0410807	0.0723124	0.046809	0.0213956	0.134614
a31	0.0619724	0.412238	0.0310984	0.0883694	0.0402844	0.0746495	0.060705	0.0324642	0.198219
a8	0.0732491	0.649891	0.0376804	0.114096	0.0132849	0.0249313	0.00993165	0.00425663	0.0726795
</S>	0.0680766	0.297009	0.0420871	0.0982021	0.0634079	0.104388	0.0947013	0.0589105	0.173217
