 	deve	essere	bianco	</S>
a31	0.0656171	0.238608	0.365135	0.33064
a11	0.0688955	0.64194	0.233218	0.0559467
a31	0.0302829	0.526035	0.294139	0.149543
a37	0.0200983	0.487525	0.281587	0.21079
a31	0.0238844	0.448905	0.276707	0.250504
a37	0.00854627	0.443064	0.231692	0.316697
a31	0.0142786	0.447092	0.231546	0.307084
a20	0.00309178	0.353544	0.128732	0.514632
a31	0.0023387	0.308997	0.0928196	0.595845
a0	0.00199356	0.154695	0.0561251	0.787186
a31	0.00214608	0.171474	0.0301955	0.796185
a20	0.00716244	0.21224	0.0388834	0.741714
a18	0.0146881	0.398486	0.0414981	0.545328
</S>	0.0109039	0.309315	0.0442247	0.635556
