 	guardando	le	nuvole	capisco	che	piove	</S>
a8	0.127734	0.150331	0.155414	0.154196	0.153793	0.142372	0.11616
a23	0.112097	0.175291	0.214195	0.211073	0.194543	0.0720239	0.0207778
a31	0.15571	0.163621	0.168542	0.148767	0.161787	0.135143	0.0664297
a17	0.198404	0.228315	0.246374	0.131503	0.123752	0.0537971	0.0178552
a31	0.173275	0.17209	0.184709	0.106707	0.152075	0.136611	0.0745332
a10	0.216851	0.230286	0.246364	0.102076	0.111476	0.0619597	0.030987
a20	0.19622	0.201349	0.22063	0.103013	0.145966	0.0886258	0.0441949
a8	0.180228	0.183361	0.196397	0.112219	0.155706	0.113866	0.058221
a17	0.154152	0.154	0.162951	0.105702	0.14406	0.155855	0.123281
a13	0.159153	0.159456	0.166037	0.117815	0.15018	0.145296	0.102064
a20	0.163648	0.163922	0.178197	0.0995212	0.14634	0.151038	0.0973331
a31	0.166716	0.168404	0.182771	0.102293	0.149228	0.143614	0.0869744
a37	0.194128	0.203599	0.222933	0.103004	0.140324	0.0826571	0.0533537
a31	0.179806	0.182998	0.196022	0.114523	0.156252	0.107467	0.0629313
a0	0.201031	0.216661	0.232876	0.109475	0.123383	0.0690402	0.0475334
a31	0.170155	0.173288	0.181106	0.127965	0.159413	0.117028	0.0710445
a10	0.200637	0.229352	0.239175	0.125378	0.102894	0.0606632	0.0419007
a39	0.182538	0.192965	0.204165	0.129234	0.154784	0.0819348	0.0543803
a46	0.154262	0.161659	0.169354	0.125413	0.154927	0.139443	0.0949406
a8	0.147317	0.153763	0.159309	0.127723	0.150293	0.145946	0.115648
a20	0.14196	0.149723	0.155804	0.124011	0.147301	0.149847	0.131354
a8	0.147367	0.160352	0.168444	0.127459	0.154971	0.1421	0.0993062
a46	0.137762	0.149468	0.161446	0.10685	0.144661	0.159473	0.14034
a8	0.13933	0.151033	0.157204	0.13168	0.15033	0.147324	0.1231
a31	0.132098	0.148252	0.157335	0.123377	0.148438	0.152665	0.137835
a20	0.0946182	0.184549	0.218368	0.158429	0.173626	0.101045	0.0693656
a31	0.129884	0.165884	0.180248	0.141458	0.165188	0.132069	0.0852681
a28	0.0971198	0.217646	0.265774	0.1502	0.131822	0.0737653	0.0636731
a46	0.127498	0.184603	0.204115	0.172033	0.169649	0.0827286	0.0593737
a23	0.101409	0.157363	0.180184	0.161775	0.170947	0.132105	0.0962166
a39	0.0990779	0.152418	0.172554	0.164426	0.166337	0.13602	0.109168
a31	0.10351	0.162383	0.182132	0.173721	0.17303	0.123552	0.0816731
</S>	0.0479843	0.179543	0.307664	0.164227	0.135121	0.0857371	0.0797244
