 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
a31	0.0588551	0.0763588	0.12324	0.0676074	0.0555266	0.0980024	0.18025	0.166466	0.173693
a24	0.114853	0.169507	0.295862	0.0680818	0.0937758	0.099821	0.116542	0.0366779	0.0048805
a28	0.103738	0.101267	0.170121	0.089594	0.0841935	0.092802	0.187054	0.112076	0.0591544
a31	0.0968002	0.0942504	0.153194	0.0861123	0.0806801	0.0897376	0.184101	0.124769	0.0903553
a8	0.0986028	0.0960819	0.152907	0.0623514	0.0642124	0.0840731	0.196371	0.128216	0.117184
a0	0.0759253	0.0765246	0.126037	0.10737	0.101204	0.0952946	0.153237	0.13982	0.124588
a31	0.072685	0.0741504	0.120703	0.106445	0.10064	0.0951653	0.147394	0.141558	0.141258
a39	0.123367	0.119925	0.193904	0.0490106	0.0549074	0.082049	0.187589	0.107027	0.0822223
a31	0.0660736	0.0753651	0.119751	0.0974252	0.114773	0.118223	0.153797	0.139304	0.115288
a8	0.162803	0.164455	0.218216	0.0214386	0.0329398	0.0714125	0.16598	0.0888962	0.0738596
a31	0.0437897	0.0553144	0.0948608	0.06072	0.114546	0.152738	0.185167	0.161874	0.13099
a24	0.163637	0.188487	0.224203	0.00585125	0.0113698	0.0488081	0.177863	0.0877834	0.0919978
a46	0.0843394	0.111547	0.172762	0.0271382	0.0610133	0.135969	0.206713	0.115328	0.0851903
a31	0.0335362	0.0413635	0.0664025	0.0265912	0.0751713	0.187176	0.249089	0.18399	0.13668
a1	0.0772878	0.117427	0.1827	0.0028005	0.00405327	0.0301258	0.302019	0.111603	0.171983
a31	0.0358472	0.0441759	0.0652635	0.0129382	0.0415018	0.192142	0.321497	0.170649	0.115986
</S>	0.0464928	0.0758294	0.135406	0.00216369	0.00275624	0.0235437	0.377974	0.117436	0.218398
