 	mi	si	gonfiò	il	dito	</S>
a31	0.038609	0.193477	0.286794	0.313258	0.106594	0.0612672
a11	0.0146987	0.184575	0.327808	0.355492	0.0890882	0.0283377
a31	0.0230052	0.212112	0.206563	0.232574	0.232168	0.0935776
a15	0.00753041	0.1479	0.251755	0.355399	0.161379	0.0760358
a31	0.0307633	0.216541	0.215759	0.232454	0.206835	0.0976473
a0	0.00546261	0.121754	0.29058	0.415781	0.0988337	0.0675894
a46	0.0271542	0.220155	0.240877	0.25854	0.170562	0.0827116
a31	0.0524064	0.204134	0.222917	0.23092	0.175741	0.113882
a18	0.00399701	0.0978118	0.308343	0.458083	0.0656228	0.0661422
a31	0.0299906	0.215416	0.255022	0.272439	0.148966	0.0781658
a24	0.00271014	0.0802179	0.295813	0.491353	0.0599556	0.0699503
a28	0.00824559	0.169521	0.319067	0.369869	0.0754805	0.0578171
a13	0.012957	0.178979	0.301025	0.345842	0.0951761	0.06602
a20	0.0283289	0.180433	0.269282	0.300538	0.135617	0.0858013
a17	0.0248435	0.16961	0.252901	0.298986	0.15776	0.0959001
a39	0.0216825	0.159095	0.24686	0.291018	0.168303	0.11304
a20	0.0290057	0.159214	0.25235	0.290354	0.157863	0.111214
a31	0.0145102	0.136366	0.248414	0.32941	0.164276	0.107024
a41	0.000524888	0.0200729	0.150047	0.665628	0.0588168	0.104911
a8	0.00638069	0.105118	0.304696	0.422201	0.0978193	0.0637847
a37	0.0149346	0.0890003	0.31662	0.414331	0.0943767	0.0707377
a8	0.00297223	0.0663538	0.257858	0.476663	0.10983	0.0863232
</S>	0.0139891	0.0885954	0.301739	0.406743	0.107197	0.0817364
