 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a31	0.0563244	0.0160952	0.07671	0.145101	0.158491	0.124308	0.135078	0.151524	0.136368
a8	0.118296	0.0732535	0.184902	0.299581	0.231733	0.0744119	0.0133838	0.00265027	0.00178834
a31	0.155022	0.0867473	0.138264	0.148906	0.118732	0.106444	0.156778	0.0675595	0.0215462
a29	0.184981	0.0931171	0.182039	0.217326	0.162065	0.0753242	0.0756228	0.00681877	0.0027064
a11	0.173152	0.0847297	0.139077	0.153946	0.111231	0.0664041	0.179751	0.0708457	0.0208629
a31	0.146755	0.073872	0.120156	0.131415	0.0981752	0.0758542	0.175987	0.125829	0.0519569
a17	0.191191	0.0800918	0.150783	0.171832	0.114297	0.0376287	0.16656	0.067751	0.0198663
a21	0.133455	0.0552943	0.1076	0.119723	0.0881194	0.067497	0.180647	0.161542	0.0861237
a24	0.119103	0.0433466	0.10007	0.112131	0.0835543	0.0760772	0.166348	0.167286	0.132084
a31	0.129663	0.0551547	0.103185	0.115902	0.085463	0.0673187	0.181637	0.163725	0.0979512
a18	0.146134	0.0575501	0.115718	0.133791	0.0948505	0.0341517	0.189894	0.161181	0.0667294
a31	0.127375	0.0389637	0.114153	0.130503	0.0977035	0.0848108	0.167986	0.148648	0.0898581
a8	0.152849	0.0474277	0.123837	0.15166	0.103788	0.0341624	0.17796	0.144978	0.0633373
a31	0.0922352	0.0195575	0.116331	0.151571	0.112059	0.0967965	0.139385	0.150226	0.121838
a11	0.139227	0.030821	0.12624	0.174776	0.121486	0.0444241	0.160425	0.132806	0.0697953
a31	0.0905092	0.0133368	0.113198	0.16701	0.123421	0.0951166	0.15746	0.146954	0.0929947
a8	0.113008	0.0177637	0.120888	0.20922	0.148573	0.0447694	0.141186	0.130542	0.0740501
a24	0.0528654	0.0111792	0.0964935	0.215744	0.139555	0.0962982	0.119726	0.148252	0.119887
a31	0.0739212	0.0114042	0.104837	0.188856	0.151152	0.0951955	0.144409	0.13909	0.0911359
a37	0.060496	0.00690383	0.0866457	0.250468	0.18027	0.0372833	0.123023	0.158646	0.096264
a31	0.0461655	0.00766252	0.0839324	0.257088	0.178643	0.0610903	0.123262	0.151744	0.0904123
a28	0.0401418	0.00575414	0.0723677	0.293937	0.215648	0.0264437	0.0851796	0.159471	0.101057
a31	0.0351446	0.00935063	0.0672672	0.273473	0.174436	0.0445081	0.0994878	0.179687	0.116646
</S>	0.0357235	0.00675359	0.0709519	0.327113	0.228384	0.0178673	0.0590407	0.152142	0.102024
