 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
a8	0.0785354	0.084454	0.0867032	0.0871997	0.0873419	0.0872312	0.0872032	0.08609	0.0821955	0.0815841	0.0722172	0.0792447
a31	0.0260329	0.0622412	0.0721522	0.0808773	0.103451	0.110736	0.11425	0.109106	0.110811	0.107497	0.0850811	0.0177643
a28	0.0391038	0.0858821	0.0970445	0.106511	0.127022	0.126606	0.112217	0.0922444	0.100217	0.0786874	0.0289448	0.00551963
a31	0.0933988	0.100189	0.101754	0.104631	0.105553	0.0975976	0.0695414	0.0684752	0.0848368	0.0840497	0.0564602	0.0335127
a20	0.104144	0.112203	0.114235	0.117618	0.118181	0.106659	0.0737277	0.0643208	0.0763771	0.0675375	0.0283122	0.016685
a31	0.0996886	0.103264	0.10476	0.107925	0.108314	0.0983376	0.0670563	0.0648977	0.0806383	0.0794942	0.0487461	0.0368784
a21	0.11129	0.11399	0.11588	0.11983	0.119664	0.105436	0.068694	0.0597876	0.0722966	0.0648667	0.0263287	0.0219349
a31	0.0958094	0.0962923	0.0970831	0.0988954	0.0988746	0.0922433	0.0679292	0.0675221	0.079098	0.0802444	0.0610658	0.0649424
a17	0.10458	0.111267	0.112955	0.115265	0.115417	0.106275	0.0788968	0.0676357	0.0753803	0.0647173	0.0276657	0.0199449
a29	0.0967179	0.0968049	0.0976747	0.0996005	0.0995076	0.092366	0.0670042	0.0664652	0.0780726	0.0792652	0.0592442	0.0672769
a24	0.092908	0.0940035	0.0949891	0.0968762	0.0969796	0.0909613	0.0678451	0.0680362	0.0813853	0.0821369	0.0634102	0.0704687
a37	0.0996106	0.100432	0.102376	0.106236	0.106255	0.0943256	0.0607031	0.0605052	0.0781775	0.0792954	0.0519287	0.0601542
a8	0.0990161	0.0983615	0.0998778	0.103157	0.103017	0.0924494	0.0609315	0.0610572	0.0780727	0.079508	0.0550731	0.0694787
a31	0.0929122	0.0928381	0.09359	0.0952197	0.0951186	0.0888287	0.0655346	0.0661057	0.0766571	0.0790927	0.0660227	0.0880799
a24	0.0985119	0.0998232	0.101009	0.10263	0.102492	0.0966576	0.0748236	0.0719974	0.0812716	0.0774496	0.0494022	0.0439324
a31	0.0991595	0.100407	0.10189	0.104877	0.104929	0.0951171	0.0644848	0.06398	0.0796336	0.0797144	0.0542199	0.0515872
a17	0.105169	0.106342	0.108097	0.110511	0.110096	0.100945	0.0722033	0.0671348	0.0774011	0.070665	0.0363745	0.0350614
a31	0.0931251	0.0957113	0.0965344	0.0973934	0.0973542	0.0924448	0.0733581	0.071925	0.073577	0.0752994	0.0609034	0.072374
a39	0.10201	0.107122	0.109148	0.11029	0.109891	0.104126	0.0863921	0.0754915	0.0751555	0.0633289	0.0298318	0.0272126
a35	0.0916018	0.0975163	0.0985637	0.098634	0.0986773	0.0947958	0.0802389	0.0764464	0.068063	0.0699572	0.056556	0.0689497
a8	0.088597	0.0909999	0.0918482	0.0924184	0.0924609	0.0894335	0.076219	0.0754644	0.0761299	0.0776748	0.0674803	0.0812739
a31	0.0906669	0.0933733	0.0943612	0.0952356	0.0952312	0.0904639	0.071737	0.0709486	0.0725159	0.0750707	0.0635124	0.0868834
a37	0.0960491	0.100657	0.103217	0.105063	0.104986	0.0990091	0.0770333	0.0736704	0.0788918	0.0741526	0.0435595	0.04371
a38	0.0957431	0.0983702	0.100243	0.102408	0.102378	0.0943221	0.0672952	0.0665847	0.0745118	0.075868	0.0543867	0.0678892
a31	0.0908599	0.0967307	0.0984197	0.0991613	0.0992434	0.0936318	0.0734085	0.0710171	0.066699	0.0697729	0.0561421	0.0849136
a0	0.0937973	0.101453	0.105252	0.107237	0.107251	0.101338	0.0799826	0.0757126	0.0769482	0.0712535	0.0385257	0.0412494
a23	0.0922457	0.10129	0.103672	0.104401	0.104537	0.0972354	0.073631	0.069476	0.0611615	0.0645135	0.048501	0.0793348
a31	0.088802	0.0991792	0.101149	0.100762	0.100945	0.0964617	0.0815275	0.0757369	0.0600189	0.0631851	0.0511336	0.0810992
a17	0.0885058	0.100873	0.106836	0.109191	0.109459	0.103655	0.082867	0.078142	0.0740251	0.0686371	0.0344978	0.0433114
a31	0.0912362	0.104761	0.108086	0.108443	0.108698	0.100298	0.0754508	0.0689534	0.0551744	0.0587942	0.0423904	0.0777146
a28	0.0845079	0.106017	0.11613	0.118902	0.119383	0.112894	0.0935587	0.0819201	0.0633858	0.0539766	0.0188334	0.0304927
a18	0.0874517	0.108055	0.114587	0.115037	0.115796	0.106901	0.0823655	0.0727719	0.0515564	0.0538252	0.0325788	0.0590753
a33	0.0804706	0.104987	0.113979	0.114561	0.115803	0.107473	0.0852525	0.0747459	0.0491198	0.052137	0.0316445	0.0698269
a8	0.0769938	0.116664	0.124095	0.11803	0.119005	0.110347	0.0984919	0.0713305	0.0364304	0.0392435	0.0281159	0.0612528
a31	0.079613	0.102555	0.108739	0.107272	0.108219	0.103854	0.0953855	0.0818222	0.0489265	0.0520818	0.0380355	0.0734963
</S>	0.0503131	0.0885366	0.117652	0.126714	0.130381	0.121935	0.0978431	0.0899162	0.0541435	0.0514741	0.0148745	0.0562175
