 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
a48	0.0261896	0.0769675	0.111532	0.110486	0.108185	0.108683	0.117615	0.110124	0.0893781	0.028975	0.0522451	0.05962
a31	0.018877	0.0388685	0.0454923	0.0823942	0.142316	0.124191	0.144923	0.158771	0.163174	0.0194072	0.0489087	0.012678
a0	0.014592	0.032004	0.0583933	0.107787	0.161673	0.131928	0.162354	0.161409	0.153335	0.00118174	0.0113569	0.00398676
a37	0.0385021	0.062708	0.121827	0.12713	0.105218	0.101598	0.120553	0.113115	0.0948139	0.00574855	0.0743651	0.0344214
a25	0.0275821	0.0532871	0.0968266	0.12523	0.119559	0.112749	0.133817	0.128373	0.110718	0.0054578	0.064041	0.0223599
a31	0.0285115	0.0640586	0.104734	0.101726	0.0969137	0.0980197	0.107735	0.104428	0.0959742	0.0154805	0.102814	0.0796037
a3	0.0225687	0.048512	0.0939348	0.132933	0.136703	0.125433	0.146534	0.138025	0.122101	0.00172245	0.023092	0.00844142
a20	0.0377643	0.061642	0.121128	0.123409	0.100074	0.0971163	0.116269	0.109056	0.0904421	0.00655151	0.0850736	0.0514746
a24	0.0362614	0.0625682	0.110606	0.115298	0.0996827	0.0973275	0.112808	0.107672	0.0925148	0.00853285	0.0931851	0.0635432
a18	0.0383634	0.0644588	0.115658	0.119303	0.101259	0.0988301	0.115037	0.109192	0.0929337	0.00723182	0.0839025	0.0538313
a31	0.0349897	0.0593218	0.110033	0.110112	0.090776	0.0890401	0.105484	0.0999012	0.083827	0.0130109	0.106507	0.0969968
a28	0.0331578	0.0563801	0.13584	0.138085	0.102244	0.0984889	0.12503	0.113378	0.0880639	0.00256746	0.0564153	0.0503497
a37	0.032112	0.0640585	0.113092	0.112846	0.0984338	0.0974819	0.111828	0.106738	0.0926107	0.0101104	0.092568	0.0681205
a31	0.0256272	0.0535825	0.116458	0.11542	0.0899791	0.0885569	0.110334	0.102412	0.0822094	0.00908162	0.107606	0.0987335
a20	0.0278731	0.0579616	0.137836	0.138265	0.10469	0.102088	0.127945	0.116021	0.0900721	0.0018872	0.0489967	0.0463642
a13	0.0159826	0.0573436	0.113374	0.104359	0.100552	0.105069	0.11825	0.112922	0.102349	0.00872353	0.0941718	0.066904
a20	0.0115997	0.0450322	0.109482	0.100393	0.0868284	0.0902777	0.110236	0.103063	0.0860644	0.0124691	0.124299	0.120256
a31	0.0124228	0.0485981	0.108959	0.10092	0.0893837	0.0929801	0.110876	0.104462	0.0884852	0.011805	0.118173	0.112935
a44	0.013166	0.0496981	0.141857	0.13761	0.103615	0.104759	0.136772	0.12121	0.0868378	0.00119902	0.0498099	0.0534671
a31	0.016601	0.0441855	0.0922204	0.0693282	0.087365	0.109298	0.112664	0.108601	0.124255	0.0163619	0.120631	0.0984884
a23	0.0103924	0.0548011	0.146293	0.132404	0.115903	0.122358	0.14765	0.128577	0.0952402	0.00047966	0.0196756	0.0262258
</S>	0.0122778	0.0365856	0.0925618	0.0710144	0.0793765	0.105034	0.117468	0.109513	0.123557	0.011513	0.132918	0.108181
