 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
a20	0.0190188	0.0316485	0.0364543	0.0387033	0.0392707	0.040263	0.04016	0.0402605	0.040382	0.0404453	0.0404596	0.0404498	0.0404798	0.0404168	0.0404091	0.0404599	0.0404639	0.0404243	0.0404068	0.0401948	0.0393496	0.0402725	0.0398507	0.0394253	0.0373112	0.0330198
a31	0.00541553	0.0065634	0.00885272	0.0108151	0.0151435	0.0450449	0.0350596	0.0225846	0.0294771	0.0419734	0.0294163	0.0349895	0.0639966	0.0444632	0.0370007	0.0388671	0.0530041	0.063184	0.0706483	0.0720026	0.0684993	0.0681615	0.0578436	0.0478309	0.0232673	0.00589521
a1	0.00948634	0.0181574	0.028563	0.0337027	0.0392059	0.0499561	0.0482053	0.0444172	0.0469179	0.0494641	0.0468218	0.0480789	0.0516942	0.0495727	0.0483731	0.0484798	0.0501699	0.0503337	0.0509248	0.050077	0.0399581	0.0409689	0.0269575	0.0148324	0.0102412	0.00443999
a35	0.0325674	0.038851	0.0407336	0.0415277	0.0412383	0.0426441	0.0423957	0.0420697	0.0423624	0.0425711	0.0424168	0.0424118	0.0426217	0.0422992	0.042226	0.0422442	0.0422284	0.0416844	0.0418822	0.0409226	0.0335372	0.0387217	0.0337378	0.0251693	0.0242112	0.0167243
a31	0.034096	0.0386375	0.0399133	0.0404385	0.0403151	0.0411564	0.0410105	0.0408165	0.04099	0.0411151	0.041023	0.0410223	0.0411491	0.0409612	0.0409169	0.0409298	0.040924	0.0406108	0.0407241	0.0401517	0.0353776	0.0388731	0.0357906	0.0297044	0.0299597	0.0233931
a7	0.0298761	0.0397394	0.0430991	0.0445043	0.0439699	0.0464522	0.0460102	0.045418	0.0459336	0.046307	0.0459364	0.0459474	0.046418	0.0458403	0.0456833	0.0455655	0.0455373	0.0445014	0.0448139	0.0431903	0.030088	0.0346228	0.0219371	0.0106173	0.00990701	0.00808404
a31	0.0302985	0.0392962	0.0419914	0.0432226	0.042586	0.0447778	0.0443825	0.0439054	0.0443578	0.0446692	0.0444387	0.0444121	0.0447236	0.0442102	0.0441021	0.0441089	0.044057	0.0431433	0.0434601	0.0419286	0.0309412	0.037508	0.028894	0.0175625	0.0154576	0.0115647
a24	0.0310265	0.0406818	0.0435373	0.0448349	0.0440643	0.0463941	0.0459705	0.0454544	0.0459294	0.0462575	0.0459328	0.0459114	0.0463219	0.0457636	0.0456279	0.0454951	0.0454246	0.0443289	0.044638	0.0429522	0.0295815	0.0341479	0.0212151	0.0102642	0.00980948	0.00843456
a46	0.0278156	0.0381795	0.0420346	0.0435456	0.043641	0.0457697	0.0454121	0.0448775	0.0453164	0.0456597	0.0452968	0.0453565	0.0458205	0.0453671	0.0452151	0.0451058	0.0451501	0.044447	0.0446475	0.0434946	0.0332907	0.0364673	0.024517	0.0133297	0.0113722	0.00887063
a24	0.0320674	0.0388557	0.04021	0.04088	0.0407715	0.0415882	0.0414384	0.0412723	0.0414305	0.0415428	0.0414728	0.0414467	0.0415559	0.0413629	0.0413274	0.0413331	0.0412953	0.0408932	0.0409921	0.0402088	0.034601	0.0388727	0.0352967	0.0286864	0.0284634	0.0221348
