 	che	impara	una	cosa	che	studia	una	cosa	</S>
a31	0.120349	0.103669	0.108117	0.112602	0.110868	0.122079	0.117739	0.113993	0.0905847
a24	0.0578835	0.15757	0.203216	0.15235	0.109764	0.160625	0.0863362	0.05204	0.0202158
a31	0.0754959	0.143137	0.135307	0.106127	0.112452	0.200474	0.113087	0.0725061	0.0414133
a20	0.0684505	0.134998	0.126602	0.0867614	0.0897696	0.244205	0.119695	0.0816453	0.0478731
a0	0.0776765	0.144541	0.136244	0.108564	0.112971	0.201671	0.107111	0.0704088	0.0408132
a31	0.077569	0.124792	0.112233	0.101453	0.111405	0.161303	0.136835	0.10787	0.0665402
a20	0.10566	0.135916	0.140215	0.0998948	0.0880286	0.205321	0.0967004	0.0774281	0.0508363
a11	0.0980816	0.138579	0.127726	0.118059	0.122821	0.167128	0.109604	0.0724763	0.0455247
a20	0.0983872	0.129764	0.118936	0.114059	0.120072	0.152546	0.122576	0.0891479	0.0545132
a39	0.0917516	0.128005	0.115208	0.108552	0.116294	0.150096	0.127852	0.0998651	0.0623759
a10	0.0881903	0.12117	0.104879	0.104414	0.113252	0.139196	0.128853	0.115844	0.0842014
a31	0.0907918	0.131778	0.116524	0.103392	0.111774	0.160415	0.128905	0.0964511	0.0599693
a20	0.106808	0.145373	0.125101	0.0912228	0.0895965	0.205758	0.0996071	0.0778059	0.0587276
a31	0.122957	0.137181	0.101505	0.119375	0.128463	0.15829	0.107073	0.074612	0.0505443
a11	0.200585	0.113223	0.0972378	0.0726486	0.0545171	0.186634	0.0832082	0.104203	0.0877424
a20	0.161098	0.123346	0.0662444	0.111377	0.132363	0.174584	0.0924747	0.0766574	0.0618542
a39	0.151982	0.117837	0.0643736	0.106407	0.127631	0.169217	0.110388	0.0880841	0.0640803
a20	0.129911	0.109236	0.0537476	0.0953249	0.125232	0.160693	0.12763	0.117583	0.0806435
a31	0.139861	0.119006	0.063836	0.10187	0.123178	0.161512	0.121136	0.101002	0.0685993
a46	0.264178	0.107013	0.0407429	0.0417598	0.0350596	0.181216	0.0649795	0.126015	0.139036
a31	0.120396	0.084431	0.0453095	0.0714198	0.114124	0.199934	0.118637	0.137493	0.108256
</S>	0.289163	0.126108	0.0175931	0.023955	0.0244384	0.128871	0.0455437	0.137461	0.206867
