 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
a8	0.0791509	0.0853714	0.0868484	0.0874497	0.0872397	0.0875438	0.0848752	0.0833048	0.078002	0.0748944	0.0842972	0.0810225
a3	0.024701	0.0487255	0.0844458	0.100022	0.100486	0.102394	0.102002	0.102655	0.103469	0.0864338	0.0810337	0.0636335
a31	0.055848	0.0761151	0.089192	0.0913633	0.078579	0.0842979	0.0832082	0.0904625	0.096005	0.092003	0.0903572	0.0725687
a7	0.0762094	0.0905593	0.0991328	0.0967941	0.0665637	0.0761085	0.0703481	0.0822216	0.104865	0.0933393	0.0955999	0.0482583
a20	0.101917	0.0876599	0.0822339	0.07517	0.0478824	0.0552079	0.0526621	0.0705552	0.0998667	0.111612	0.118065	0.0971674
a24	0.101627	0.0859543	0.0799918	0.072924	0.0464635	0.0536575	0.0517876	0.070647	0.0988184	0.112391	0.118776	0.106962
a31	0.102814	0.0859792	0.0797737	0.072479	0.0461888	0.0531743	0.0511468	0.0695952	0.0990009	0.113047	0.120735	0.106066
a20	0.112907	0.0910326	0.0838136	0.0759849	0.0484424	0.055028	0.0500342	0.0628726	0.0963371	0.107985	0.123078	0.0924848
a31	0.0966787	0.088568	0.0848821	0.0797166	0.0531571	0.061668	0.0597895	0.077687	0.0966056	0.101506	0.105593	0.0941487
a28	0.112526	0.0978856	0.0924546	0.0857055	0.0551849	0.0634993	0.0572293	0.067821	0.0924834	0.0922207	0.107693	0.075296
a31	0.0975724	0.089725	0.0861648	0.081367	0.054804	0.0634684	0.0611838	0.0782917	0.0963004	0.0985781	0.103687	0.0888572
a3	0.11084	0.102243	0.0988333	0.0938324	0.0641774	0.073267	0.0657062	0.070924	0.0857163	0.0767483	0.0950564	0.0626553
a31	0.0950542	0.0901166	0.087732	0.0844611	0.0598892	0.0686018	0.0657106	0.0801653	0.0937726	0.0923817	0.0989201	0.0831948
a35	0.109695	0.106974	0.105905	0.103191	0.0777975	0.0862099	0.0755133	0.069715	0.0734186	0.0574544	0.0829446	0.0511813
a31	0.0784173	0.0821301	0.0838375	0.0870401	0.0721455	0.0793495	0.0733775	0.0830482	0.0910781	0.0862652	0.0960173	0.0872936
a20	0.109512	0.115407	0.118189	0.11973	0.106975	0.109803	0.0886155	0.0573188	0.0459326	0.0270217	0.0646584	0.0368377
a0	0.0772368	0.0834992	0.0865717	0.0912508	0.0799195	0.0860962	0.0782036	0.083252	0.0871828	0.0773781	0.0927457	0.0766635
a31	0.0719525	0.0790231	0.082598	0.088183	0.0771323	0.0836134	0.0753939	0.0832937	0.0900857	0.0841176	0.0961261	0.0884808
a38	0.098501	0.11582	0.122389	0.126506	0.112598	0.11684	0.0875844	0.0537211	0.038517	0.0223755	0.0685655	0.0365822
a8	0.0514253	0.0646731	0.0736171	0.094543	0.0938404	0.101417	0.0746369	0.0810781	0.0938197	0.0740562	0.107586	0.0893081
a31	0.055601	0.0683774	0.0762802	0.0925336	0.0942854	0.0986372	0.0786317	0.0822297	0.0899941	0.0750775	0.100223	0.0881288
a46	0.0804993	0.117868	0.132968	0.143937	0.137411	0.138321	0.0864085	0.0400859	0.021527	0.0111227	0.0615088	0.0283421
a31	0.0427497	0.0556089	0.0658432	0.0973099	0.107264	0.117522	0.0708918	0.0764159	0.095256	0.0648735	0.118855	0.0874095
</S>	0.0636771	0.117225	0.145122	0.171349	0.1686	0.165412	0.0726957	0.0216846	0.00922298	0.00389238	0.0446581	0.0164611
