 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
a31	0.0991233	0.143202	0.145957	0.143992	0.0871152	0.129057	0.1303	0.121252
a21	0.0688751	0.299958	0.260204	0.236054	0.113682	0.0149894	0.00378864	0.00244984
a37	0.156002	0.176902	0.17268	0.172973	0.145782	0.0974049	0.0538274	0.0244283
a31	0.157861	0.188947	0.18383	0.183998	0.149745	0.0817377	0.0378365	0.0160447
a17	0.19087	0.225239	0.200494	0.193535	0.106862	0.0462047	0.024734	0.0120603
a20	0.153895	0.170717	0.159402	0.16172	0.120564	0.104254	0.0807153	0.0487329
a41	0.153409	0.171116	0.161908	0.163465	0.123577	0.103284	0.0775718	0.0456684
a31	0.151871	0.171577	0.157866	0.160759	0.112204	0.103119	0.0856613	0.0569436
a46	0.188985	0.226925	0.190317	0.189558	0.0902929	0.0478708	0.0414857	0.0245667
a31	0.129782	0.160108	0.153226	0.154036	0.105983	0.117049	0.103383	0.0764328
a13	0.189786	0.224028	0.194692	0.188609	0.0906565	0.0458965	0.0410842	0.025247
a41	0.151446	0.181885	0.171119	0.171791	0.112628	0.0926403	0.0722383	0.046252
a31	0.146061	0.170796	0.162403	0.16322	0.112962	0.102716	0.0841546	0.0576872
a33	0.186556	0.224827	0.195576	0.189475	0.0859517	0.0456244	0.043376	0.0286134
a31	0.108118	0.165651	0.161025	0.159445	0.0866459	0.11853	0.111759	0.0888249
a28	0.176771	0.217056	0.195985	0.188246	0.0878935	0.0496107	0.0483316	0.0361055
a20	0.147559	0.208423	0.19642	0.191628	0.0890854	0.0671865	0.0586503	0.0410477
a8	0.134842	0.190153	0.18389	0.181323	0.0942436	0.088265	0.0740076	0.0532766
a31	0.0960454	0.154665	0.150592	0.149197	0.0751249	0.123421	0.130453	0.120502
a39	0.163033	0.21533	0.200373	0.190749	0.0822883	0.051657	0.0527429	0.0438274
a41	0.0954809	0.183151	0.177832	0.174492	0.0671154	0.109818	0.105973	0.0861373
a13	0.117079	0.169882	0.166574	0.165014	0.0863591	0.110708	0.101797	0.0825872
a31	0.104495	0.161542	0.156921	0.156285	0.0736058	0.118462	0.121496	0.107193
a35	0.152757	0.216871	0.204575	0.193915	0.0753893	0.0520429	0.0554586	0.0489906
a31	0.0811376	0.177334	0.172693	0.16813	0.0576181	0.113776	0.121574	0.107738
a21	0.130025	0.233007	0.220741	0.203698	0.0547359	0.0474468	0.0564993	0.0538476
a31	0.0556753	0.194571	0.186658	0.175953	0.0360894	0.0977623	0.12711	0.126181
a10	0.090928	0.251186	0.240616	0.217248	0.0329221	0.0434354	0.060779	0.0628853
</S>	0.0468758	0.247155	0.242041	0.220246	0.0198753	0.0503805	0.0826766	0.09075
