 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
a20	0.230333	0.251268	0.124362	0.198692	0.0366415	0.00919092	0.043693	0.10582
a0	0.1529	0.188793	0.0537575	0.138192	0.0189227	0.146293	0.167284	0.133857
a28	0.121882	0.191123	0.0268803	0.124874	0.0182938	0.100184	0.21414	0.202623
a31	0.144951	0.219326	0.0270156	0.134686	0.0207144	0.0516743	0.186137	0.215496
a24	0.259195	0.350737	0.0375699	0.159266	0.0195002	0.0130546	0.0540553	0.106622
a46	0.298795	0.291238	0.0499842	0.160751	0.0073267	0.00597378	0.0603151	0.125616
a31	0.169117	0.153429	0.0561343	0.110815	0.0144504	0.0458353	0.196635	0.253585
a24	0.357529	0.330027	0.0458237	0.138396	0.005328	0.00310829	0.0249576	0.0948307
a31	0.307812	0.304808	0.0505653	0.173964	0.00512455	0.00371955	0.0469401	0.107067
a20	0.389397	0.349889	0.0414879	0.140006	0.00256711	0.00115353	0.0125372	0.0629621
a29	0.314572	0.301072	0.0525208	0.175242	0.00410594	0.00272794	0.0440657	0.105693
a20	0.243223	0.220001	0.0564168	0.139793	0.00659878	0.00673624	0.102001	0.225229
a29	0.232633	0.211086	0.054709	0.133687	0.00669916	0.00865362	0.112241	0.24029
a13	0.23192	0.213203	0.0545344	0.1327	0.00601851	0.00671517	0.0986763	0.256233
a17	0.208032	0.190449	0.0517073	0.1215	0.00756125	0.0111791	0.130364	0.279208
a31	0.191137	0.174337	0.0474108	0.111168	0.00945392	0.0179844	0.158554	0.289956
a44	0.374067	0.334208	0.0408892	0.142307	0.00102664	0.000789362	0.0173014	0.0894111
a8	0.219255	0.211612	0.0335484	0.0957248	0.0108707	0.0350529	0.132023	0.261912
a6	0.24546	0.243491	0.0347005	0.108534	0.00879477	0.0195555	0.102974	0.236489
</S>	0.250047	0.258751	0.0458619	0.121567	0.0122015	0.0193957	0.086788	0.205388
