 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a31	0.0659231	0.0693464	0.0732624	0.0735944	0.0739176	0.0737488	0.0736098	0.0733927	0.0734045	0.0716927	0.0696203	0.0683052	0.0690869	0.0710952
a20	0.0193483	0.0361514	0.082983	0.0994335	0.100832	0.104791	0.120482	0.127678	0.1084	0.0813802	0.0539289	0.0382358	0.0198807	0.00647578
a13	0.0845688	0.0900009	0.0920004	0.082446	0.079474	0.0705085	0.0621102	0.0592598	0.0551467	0.0514019	0.0601697	0.0622698	0.0786184	0.072025
a31	0.0916967	0.0947478	0.0949197	0.0812102	0.0773481	0.0664322	0.0570764	0.0541026	0.0501229	0.0467065	0.0564034	0.0605828	0.0837664	0.0848843
a28	0.104216	0.110598	0.111065	0.088212	0.0821247	0.0675759	0.0574183	0.0543874	0.0496158	0.0425831	0.0465835	0.0451177	0.0743231	0.0661786
a31	0.0932056	0.0975026	0.0983148	0.0838818	0.0797231	0.0683027	0.0587618	0.0557228	0.0514105	0.0469555	0.0549503	0.0567287	0.0795652	0.0749746
a21	0.105275	0.111507	0.111914	0.0887946	0.0825912	0.0678997	0.0577528	0.0547157	0.0498039	0.042124	0.0451851	0.043173	0.072984	0.0662799
a31	0.0815908	0.0848665	0.0861966	0.0796141	0.0775159	0.0707766	0.0638577	0.0613626	0.0577339	0.0542917	0.0623406	0.0647426	0.0782573	0.0768531
a20	0.0940168	0.0991949	0.100852	0.0906008	0.0865136	0.0769872	0.0693306	0.0665837	0.0607136	0.0506781	0.0496389	0.0434207	0.0609477	0.0505212
a28	0.0816135	0.0873896	0.0908148	0.0839504	0.0816878	0.0745374	0.0675306	0.0649347	0.0607447	0.0550299	0.0592493	0.0574	0.0711207	0.0639967
a27	0.0819283	0.0873583	0.0908038	0.0820261	0.0795755	0.0711503	0.0629204	0.0600321	0.0560177	0.0514362	0.0587031	0.0609687	0.0782241	0.0788554
a17	0.0783454	0.0842993	0.0884645	0.0805017	0.0784537	0.07069	0.0627075	0.0598853	0.0561325	0.0523396	0.0603844	0.0642756	0.0797261	0.0837944
a4	0.078483	0.0835168	0.0871011	0.0799097	0.0780182	0.0707873	0.0632266	0.060511	0.0568726	0.0531587	0.0610566	0.0647729	0.0792793	0.0833063
a13	0.0787615	0.0852178	0.0901949	0.081106	0.0789333	0.070411	0.0618104	0.058824	0.0549803	0.0510193	0.0590618	0.0634635	0.0801712	0.086045
a31	0.0842991	0.0908738	0.0953257	0.0822144	0.0789669	0.0681657	0.0584833	0.0553229	0.0513318	0.0471982	0.0555627	0.0601464	0.0825333	0.0895757
a18	0.0879231	0.0964559	0.102419	0.086776	0.0827748	0.0702968	0.0601017	0.0567699	0.0522484	0.045224	0.0498484	0.0507478	0.0774767	0.0809375
a36	0.0706871	0.0801223	0.087972	0.0815945	0.0802601	0.0735119	0.0660816	0.063318	0.0596728	0.0550213	0.0608079	0.0636026	0.0765231	0.0808249
a46	0.0679816	0.0807134	0.0919756	0.083183	0.081681	0.0732795	0.0642651	0.0610781	0.0571344	0.0523115	0.0585987	0.0630404	0.078326	0.0864318
a31	0.0610972	0.0766239	0.0898374	0.0827057	0.081408	0.0741328	0.066001	0.0630552	0.059266	0.0548559	0.0611878	0.0655478	0.0788111	0.0854702
a20	0.0605705	0.0772746	0.0989101	0.0922823	0.0920589	0.0831992	0.0740844	0.0702452	0.0656533	0.0527069	0.0493221	0.0466471	0.0642653	0.0727799
a8	0.0462462	0.0679589	0.0937587	0.0876639	0.0881905	0.081381	0.0725423	0.0691177	0.0651361	0.0572877	0.057629	0.0601721	0.0713989	0.081517
a31	0.0284149	0.0520457	0.096908	0.0911001	0.0925914	0.0856273	0.0755876	0.0717807	0.0673379	0.0589347	0.0578746	0.0632124	0.0726379	0.0859467
a24	0.0307274	0.0535977	0.104871	0.10641	0.112992	0.106181	0.0987467	0.0933694	0.0891327	0.0557142	0.0338965	0.0252963	0.0382879	0.0507772
a46	0.0361535	0.0613993	0.0987175	0.0936488	0.0952379	0.0888236	0.0799281	0.0762602	0.0717545	0.0597996	0.0533974	0.051668	0.0628784	0.0703331
</S>	0.0167374	0.0331239	0.0957809	0.0950104	0.100886	0.0972023	0.0871594	0.0829293	0.0782346	0.0641977	0.0526679	0.0575688	0.0611321	0.0773697
