 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
a31	0.0064353	0.0231364	0.0620217	0.0614522	0.0536882	0.0610574	0.0790925	0.0906876	0.113332	0.0896432	0.0224607	0.016481	0.0998074	0.0728014	0.147903
a10	0.014501	0.0230257	0.0329333	0.0664847	0.11364	0.108258	0.127144	0.114804	0.122103	0.134139	0.121515	0.0163212	0.00326537	0.0011446	0.000721906
a39	0.0374761	0.0588609	0.0791164	0.0848163	0.0838912	0.0826279	0.0816966	0.0793192	0.0859833	0.0862767	0.0827957	0.0659075	0.0556505	0.0210116	0.01457
a31	0.0402512	0.0597435	0.075865	0.076192	0.0743782	0.0738063	0.0731825	0.0716911	0.076785	0.0766531	0.0730248	0.0597299	0.0709887	0.0524261	0.0452826
a21	0.0258912	0.0494531	0.0748636	0.0918787	0.0953465	0.0935966	0.0940927	0.0909625	0.0991252	0.099886	0.0912411	0.0585859	0.0266595	0.00537522	0.00304202
a31	0.0343868	0.0556622	0.0771984	0.0769048	0.0733468	0.0724074	0.0712421	0.0692071	0.0765743	0.0763455	0.0710826	0.0562422	0.0746503	0.0622318	0.0525176
a21	0.0264944	0.0512812	0.0778797	0.0925291	0.0943083	0.0928139	0.0931524	0.0903813	0.0987194	0.0990801	0.0888972	0.0566167	0.0283676	0.00598354	0.00349492
a31	0.0318267	0.0551423	0.0777353	0.0768807	0.0734066	0.0727671	0.0721027	0.0703977	0.0777704	0.0772858	0.0701703	0.052831	0.0749409	0.0633407	0.0534017
a28	0.0300931	0.0562	0.0836883	0.0919843	0.0900616	0.0890289	0.0888489	0.086784	0.0952278	0.0948384	0.0826719	0.0557948	0.0378207	0.0104814	0.00647594
a31	0.0278625	0.0534895	0.0823733	0.0822713	0.0766331	0.0757429	0.0749739	0.0732007	0.0829816	0.0820596	0.0699603	0.0518121	0.0727822	0.0541411	0.0397161
a37	0.0267881	0.0535862	0.0891833	0.0918742	0.0844061	0.0832507	0.0821169	0.0799184	0.092026	0.0907986	0.0733601	0.0501349	0.0546044	0.0287193	0.0192328
a31	0.0183684	0.0479199	0.0874375	0.085459	0.0782046	0.0782753	0.0793978	0.0786078	0.0917708	0.0892157	0.065682	0.0385055	0.0722735	0.0508074	0.0380748
a6	0.018711	0.0460163	0.0925726	0.0943581	0.0825513	0.0815123	0.0807626	0.0788035	0.095883	0.0933608	0.0657967	0.0399053	0.06111	0.0374583	0.0311982
a31	0.0105417	0.0373241	0.0801124	0.0665783	0.0667992	0.0719056	0.0820679	0.0854048	0.0961385	0.0899726	0.0560127	0.0191886	0.0775225	0.0780754	0.0823556
a20	0.0121128	0.0378739	0.0952988	0.0943605	0.078055	0.0778417	0.0792171	0.0791349	0.102728	0.0972657	0.056025	0.0281329	0.070942	0.0441432	0.0468684
a41	0.00645223	0.0283176	0.0887107	0.0747688	0.0669475	0.0735116	0.0884665	0.0973709	0.125455	0.10802	0.0410357	0.0135991	0.0751077	0.0515956	0.0606411
a33	0.00658871	0.0251966	0.0783266	0.0605323	0.0564988	0.063311	0.0791511	0.0880205	0.112264	0.0960365	0.0399172	0.0124029	0.087681	0.0772625	0.11681
a31	0.00638418	0.0208379	0.0682173	0.0475425	0.0474006	0.0557895	0.0774665	0.0878409	0.108617	0.0906665	0.0365548	0.0109724	0.0805417	0.091514	0.169654
a37	0.00599837	0.024249	0.0893431	0.0805657	0.0636525	0.0670856	0.0757089	0.0814884	0.120553	0.102317	0.0371225	0.0134604	0.0878792	0.0504823	0.100094
a27	0.00370441	0.0160156	0.0683857	0.0554908	0.0526193	0.0633304	0.0893035	0.101789	0.144913	0.107814	0.0249008	0.00856799	0.0707949	0.0446571	0.147713
a31	0.00699448	0.0177076	0.0529717	0.036336	0.0386932	0.0471151	0.0710943	0.0812691	0.101122	0.0789457	0.0300041	0.0116949	0.0729335	0.0765235	0.276595
a3	0.00402595	0.0176176	0.0744406	0.0634948	0.056908	0.0646802	0.0811715	0.0876787	0.130146	0.102521	0.0290429	0.0087522	0.071811	0.0396072	0.168103
a8	0.00401783	0.0120093	0.0470368	0.0379308	0.0414253	0.0547398	0.0964473	0.110721	0.1444	0.0975877	0.0201369	0.00746529	0.0409966	0.0341981	0.250887
a38	0.00918972	0.017611	0.0403822	0.0313798	0.0330794	0.0396351	0.0681643	0.0795172	0.0872799	0.0655552	0.0250623	0.0170754	0.0488311	0.0610782	0.376159
a31	0.00724417	0.0160874	0.0411469	0.0320413	0.0357154	0.0444181	0.0777705	0.0884704	0.0948559	0.0722599	0.0233928	0.0163476	0.049164	0.0642908	0.336795
a33	0.00336565	0.0116791	0.0531107	0.0440383	0.0466628	0.060752	0.0994728	0.110612	0.15063	0.104885	0.0208703	0.00565395	0.036925	0.0260423	0.225301
</S>	0.0105183	0.0195073	0.0397003	0.0353522	0.0354752	0.0409269	0.0666223	0.0782479	0.0834528	0.0626365	0.0227769	0.0216642	0.045379	0.0522985	0.385442
