 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.134436	0.0830398	0.0635258	0.081832	0.179873	0.152266	0.157672	0.147356
a31	0.0502973	0.0507487	0.146562	0.201984	0.235532	0.196009	0.0958221	0.023044
a37	0.0314729	0.0137108	0.0710364	0.203132	0.365914	0.204226	0.0843121	0.0261956
a31	0.0324751	0.0150116	0.0737033	0.193946	0.307259	0.192463	0.129906	0.0552362
a20	0.024633	0.00872065	0.0342811	0.150239	0.405497	0.198107	0.123418	0.0551051
a31	0.0302694	0.0125557	0.0583171	0.18331	0.34282	0.191421	0.123574	0.0577335
a20	0.0221006	0.00598383	0.0212525	0.111496	0.440151	0.19349	0.132419	0.0731081
a13	0.0338943	0.0110068	0.0556474	0.172084	0.365106	0.192255	0.113585	0.0564218
a20	0.0373369	0.0172001	0.0847022	0.16628	0.251642	0.195136	0.154188	0.0935129
a24	0.0459259	0.0262071	0.0957822	0.16217	0.230647	0.192955	0.152085	0.0942282
a31	0.0425752	0.0166105	0.0676223	0.150269	0.272922	0.204167	0.151853	0.0939814
a0	0.0346621	0.00340559	0.011779	0.0472966	0.49594	0.159733	0.129261	0.117923
a35	0.0498483	0.0291524	0.0522621	0.119966	0.304822	0.210181	0.136664	0.0971041
a0	0.0586907	0.0309783	0.0400952	0.093073	0.284561	0.200476	0.162097	0.130028
a31	0.0619409	0.0314557	0.0370057	0.0891028	0.27736	0.198327	0.168016	0.136792
a11	0.0522718	0.00246177	0.00420024	0.0156188	0.544603	0.0746177	0.10141	0.204818
a20	0.0690025	0.0181811	0.0189019	0.0631519	0.406315	0.190102	0.12147	0.112876
a41	0.0585878	0.0160924	0.0153721	0.0581701	0.374693	0.196351	0.148739	0.131995
a10	0.0476348	0.0134771	0.012753	0.0538262	0.358658	0.196892	0.167792	0.148967
</S>	0.0410365	0.00739985	0.00694652	0.0361031	0.388479	0.185104	0.170438	0.164493
