 	sta	seduta	nel	giardino	nel	giardino	</S>
a33	0.0988365	0.176651	0.161711	0.166703	0.167738	0.152609	0.0757522
a31	0.120372	0.176085	0.173605	0.175748	0.171416	0.142312	0.0404614
a20	0.0226246	0.283372	0.175689	0.226981	0.172021	0.0953904	0.0239226
a31	0.0563476	0.205886	0.170521	0.196276	0.189468	0.141749	0.0397526
a20	0.0194943	0.266318	0.162793	0.221697	0.187373	0.109295	0.0330299
a38	0.0548795	0.21124	0.174768	0.200116	0.189132	0.130625	0.0392404
a31	0.092538	0.169156	0.15626	0.166738	0.16702	0.161222	0.0870663
a29	0.0221558	0.277175	0.177437	0.221705	0.170046	0.0953844	0.0360962
a20	0.0635541	0.201744	0.174981	0.193405	0.185355	0.135664	0.0452968
a31	0.0748328	0.186628	0.167171	0.182291	0.179833	0.153248	0.0559964
a20	0.0200567	0.262369	0.175153	0.222594	0.178768	0.100248	0.0408112
a46	0.0786314	0.199838	0.180216	0.192439	0.180663	0.123244	0.0449683
a31	0.0923529	0.169511	0.162559	0.168754	0.167703	0.158362	0.0807581
a20	0.0135924	0.344874	0.163419	0.209325	0.139452	0.0867824	0.0425554
a31	0.0800935	0.199346	0.18339	0.191343	0.178837	0.120469	0.046522
a39	0.00797421	0.375173	0.150594	0.204394	0.131246	0.0867481	0.0438704
a0	0.0583227	0.205487	0.188824	0.196366	0.182631	0.124054	0.0443157
a20	0.0734716	0.19929	0.17759	0.183107	0.177596	0.136771	0.0521743
a23	0.0686869	0.192596	0.179018	0.186239	0.180424	0.139711	0.0533253
a31	0.0519081	0.170709	0.172303	0.179284	0.175097	0.167105	0.0835933
a20	0.00376939	0.400018	0.129139	0.192111	0.133255	0.0869021	0.0548057
a31	0.0359836	0.215671	0.190391	0.204184	0.188003	0.121126	0.0446428
a46	0.00175742	0.460382	0.1075	0.178558	0.111031	0.0878056	0.0529647
</S>	0.0307539	0.205078	0.191467	0.214252	0.19014	0.13466	0.03365
