 	dovevo	comprare	pane	ogni	giorno	</S>
a8	0.181809	0.152772	0.161425	0.170304	0.181041	0.15265
a31	0.180031	0.227473	0.223035	0.197105	0.122142	0.0502142
a24	0.308897	0.267591	0.182212	0.115421	0.0862803	0.039598
a37	0.275665	0.225893	0.184221	0.130952	0.111388	0.0718801
a14	0.236128	0.200724	0.179349	0.14925	0.135723	0.098826
a29	0.21525	0.190575	0.177684	0.16107	0.150548	0.104873
a0	0.203946	0.175176	0.163273	0.154246	0.169907	0.133451
a29	0.180387	0.166019	0.16041	0.158046	0.178647	0.156491
a20	0.193561	0.170553	0.162136	0.158098	0.173796	0.141855
a31	0.190003	0.167383	0.160526	0.158396	0.177069	0.146623
a24	0.287648	0.181547	0.149088	0.119547	0.134393	0.127777
a46	0.252721	0.207373	0.186684	0.152035	0.115731	0.0854562
a31	0.15114	0.134824	0.155309	0.186344	0.197439	0.174944
a0	0.336961	0.0928277	0.0604206	0.057124	0.168129	0.284537
a20	0.150576	0.113348	0.145484	0.225586	0.205112	0.159893
a31	0.1897	0.128936	0.154449	0.199456	0.182652	0.144806
a46	0.228787	0.0359174	0.0276156	0.0336498	0.162467	0.511563
</S>	0.125918	0.0862033	0.101948	0.196373	0.244741	0.244817
