 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
a23	0.0436332	0.0692068	0.0789031	0.0833032	0.0859914	0.0867384	0.0857202	0.0856634	0.0849829	0.0846716	0.0821084	0.0696046	0.0594729
a31	0.0260754	0.0715821	0.0868673	0.0921243	0.100057	0.102092	0.0999007	0.0973734	0.0980628	0.0947867	0.0789377	0.0365885	0.0155519
a7	0.0148484	0.0944917	0.113346	0.118798	0.129047	0.13246	0.109895	0.0841518	0.0851826	0.0664284	0.0344174	0.0109117	0.00602257
a20	0.0237752	0.110424	0.114707	0.113888	0.11848	0.120648	0.0866193	0.0721228	0.0732898	0.0766467	0.0530509	0.0228272	0.0135221
a17	0.0245214	0.105344	0.108696	0.107686	0.111818	0.113791	0.0817874	0.0700179	0.0713638	0.0792577	0.0666639	0.03575	0.0233028
a39	0.0254099	0.0990422	0.10152	0.10035	0.103943	0.105704	0.0761687	0.0661495	0.0678604	0.0773821	0.0741413	0.0561908	0.0461386
a31	0.0299453	0.0909451	0.0923898	0.0918485	0.0936667	0.0945195	0.0780415	0.0709914	0.0724442	0.0793173	0.0783365	0.0682229	0.0593314
a13	0.0205585	0.116497	0.120651	0.118985	0.124729	0.1277	0.0836693	0.066336	0.0665912	0.0681914	0.0430567	0.0228147	0.0202209
a17	0.0267124	0.100249	0.102535	0.101673	0.104594	0.106	0.0811541	0.0712751	0.0728955	0.0803836	0.0721016	0.0456601	0.034768
a3	0.0263082	0.0943802	0.0963418	0.0955505	0.0980514	0.0992481	0.0775624	0.0691154	0.0708166	0.0789005	0.0768861	0.0625845	0.0542544
a18	0.0273618	0.0984002	0.100728	0.0997647	0.102969	0.104527	0.0775787	0.0678386	0.0695774	0.0783294	0.0739409	0.0537201	0.0452644
a31	0.0255101	0.0988615	0.101601	0.100446	0.104216	0.106065	0.0756724	0.0655962	0.0674555	0.0770328	0.0738409	0.0558991	0.047803
a37	0.0248962	0.111523	0.114719	0.113639	0.117664	0.11973	0.0859349	0.0702218	0.0712773	0.0717873	0.0472223	0.0267706	0.024615
a41	0.0257793	0.10259	0.10519	0.104441	0.107271	0.108636	0.0848111	0.074077	0.0757466	0.0804462	0.0647857	0.0366061	0.0296201
a35	0.0241625	0.0990818	0.10179	0.100961	0.103979	0.10542	0.0807023	0.0709882	0.0727865	0.0803182	0.0727778	0.0477864	0.039247
a31	0.0223982	0.0919902	0.0944628	0.0937981	0.0961873	0.0972954	0.0780356	0.0702735	0.0720664	0.0796038	0.0783456	0.0664316	0.0591117
a24	0.026823	0.108333	0.111482	0.111092	0.113952	0.115415	0.0907575	0.0753544	0.0763598	0.0724903	0.0460546	0.0271336	0.0247525
a37	0.0240539	0.104656	0.10801	0.107498	0.110243	0.111564	0.089777	0.0773739	0.0791803	0.0782956	0.0545643	0.0304478	0.0243369
a29	0.0191573	0.100331	0.104353	0.10367	0.107063	0.108643	0.0836553	0.0732292	0.0751473	0.081137	0.0684791	0.0407399	0.0343958
a24	0.019453	0.0961092	0.100182	0.099636	0.103061	0.104633	0.079982	0.0706352	0.0725799	0.0805036	0.0751299	0.0529684	0.0451272
a46	0.0193078	0.100978	0.10573	0.104766	0.10947	0.111715	0.0782928	0.0672945	0.0693815	0.0783396	0.070694	0.0458579	0.0381726
a31	0.0123543	0.0872563	0.0927373	0.0921071	0.0953534	0.0967463	0.0782537	0.0709045	0.0731516	0.0804823	0.0802236	0.0725418	0.0678876
a20	0.0261516	0.0992183	0.105187	0.106521	0.109073	0.110195	0.0967939	0.0841546	0.0843996	0.0756547	0.0475463	0.0284648	0.0266401
a31	0.0114919	0.0894648	0.0975293	0.0973891	0.101005	0.102449	0.088871	0.0821117	0.0843497	0.0869043	0.0751138	0.0457362	0.0375842
a0	0.0117379	0.098628	0.11228	0.115785	0.121097	0.123448	0.103497	0.0811318	0.0807734	0.0640399	0.0373878	0.0255113	0.0246825
a31	0.0079624	0.0702275	0.091905	0.0914917	0.101151	0.10498	0.092391	0.0870838	0.0927308	0.0928423	0.0797718	0.0478966	0.0395658
a46	0.00544191	0.0870845	0.114986	0.12464	0.136253	0.141629	0.114352	0.0770358	0.0726973	0.0517066	0.0308051	0.0215634	0.0218046
a33	0.00936032	0.0477807	0.0821118	0.0812228	0.105864	0.118184	0.0960683	0.0897338	0.10637	0.10237	0.0809345	0.042859	0.0371406
</S>	0.0101968	0.0494973	0.0802193	0.0796994	0.0987065	0.10744	0.0925807	0.0889965	0.101236	0.0991694	0.0874581	0.0567033	0.0480969
