 	io	dopo	torno	vecchia	vendo	mia	casa	che	ho	Venezia	a	Venezia	e	vengo	da	vivere	qui	a	Kalimara	</S>
a8	0.0249585	0.0458642	0.0523589	0.0506514	0.05181	0.053383	0.0529958	0.0535769	0.0534082	0.0524816	0.0539675	0.0521897	0.0537421	0.0534977	0.0539704	0.0534687	0.0521834	0.0511352	0.0437025	0.0406541
a37	0.0175699	0.0351133	0.0366277	0.0278885	0.0318836	0.0522757	0.0430871	0.0333172	0.0230245	0.0214993	0.0364332	0.0320665	0.0560581	0.0691029	0.0730186	0.108959	0.103244	0.112483	0.0757405	0.010607
a31	0.0187651	0.0420231	0.0437654	0.0347901	0.0397172	0.0594011	0.0512826	0.0407004	0.0275081	0.0256288	0.0440325	0.0396887	0.0620862	0.0706199	0.0729737	0.0926582	0.0877797	0.0888332	0.0489322	0.00881387
a29	0.0196516	0.0470859	0.0492389	0.0403818	0.0458964	0.0662931	0.058036	0.0466943	0.0318456	0.0296048	0.0501563	0.0452769	0.0681698	0.074495	0.0760707	0.0938411	0.0790302	0.0655964	0.00928234	0.00335256
a1	0.0361683	0.054019	0.0546138	0.0530985	0.0551331	0.0596655	0.0580892	0.0556952	0.0499004	0.0477602	0.0564571	0.0531908	0.0586984	0.0561629	0.0568219	0.0612644	0.0550286	0.0518172	0.016324	0.0100917
a39	0.0442335	0.0527556	0.0529608	0.0519159	0.0526401	0.0543744	0.0538143	0.0536915	0.052212	0.0507469	0.0539487	0.051419	0.0537843	0.0517871	0.0523717	0.054116	0.0506563	0.0502088	0.0295544	0.0328087
a3	0.0448444	0.0520346	0.0522855	0.051329	0.0519333	0.0533594	0.052905	0.0527634	0.0515178	0.0504003	0.0529935	0.0510952	0.052983	0.0516076	0.0520532	0.0533019	0.0508027	0.0504831	0.0335232	0.0377839
a20	0.0408563	0.0530066	0.0534879	0.0540398	0.0549503	0.056422	0.0558818	0.0555437	0.0538093	0.0520936	0.0556215	0.0526946	0.0550612	0.0514644	0.0520672	0.055412	0.0500102	0.0486022	0.0204831	0.0284923
a8	0.0393305	0.0528687	0.0535957	0.0536275	0.0546898	0.0565567	0.0559024	0.0554842	0.0534214	0.0516052	0.0556672	0.0525849	0.0553312	0.0519446	0.052599	0.0558405	0.0505534	0.0493556	0.0219152	0.0271262
a17	0.0434044	0.053306	0.0534904	0.0508732	0.0516538	0.0541785	0.0534103	0.0542426	0.0533835	0.0508433	0.0546374	0.0499155	0.0534255	0.0503446	0.0514741	0.0531938	0.0480823	0.048483	0.0278574	0.0438007
a31	0.045997	0.0517808	0.051998	0.0511312	0.0515544	0.0526324	0.0522992	0.0524799	0.0518911	0.0508473	0.0526371	0.0507529	0.0522652	0.0508586	0.0513074	0.0522787	0.0499055	0.0497821	0.0348642	0.0427371
a10	0.0406081	0.0528934	0.0539455	0.0550491	0.055709	0.0564588	0.0561587	0.0561038	0.055249	0.0539168	0.0560497	0.0537107	0.0551956	0.0518541	0.0523084	0.0551248	0.0500544	0.0478503	0.0177138	0.024046
a31	0.0399177	0.0528667	0.0535045	0.0540125	0.0549363	0.0564082	0.0558736	0.055796	0.0543676	0.0524517	0.0558525	0.0524873	0.0549325	0.0509571	0.0516569	0.0550854	0.0492829	0.0481861	0.0210093	0.030415
a39	0.0416059	0.0543617	0.0551343	0.0563673	0.0571188	0.0580394	0.057669	0.0576036	0.0565599	0.0549459	0.0575359	0.054694	0.0564822	0.0524871	0.0529559	0.056158	0.0494325	0.0453961	0.0111518	0.0143006
