 	ora	ho	finito	di	scrivere	</S>
a23	0.21274	0.113042	0.172241	0.196762	0.140334	0.164881
a31	0.136743	0.210147	0.241914	0.221398	0.170558	0.0192396
a28	0.103845	0.117247	0.393074	0.260089	0.10252	0.0232257
a31	0.0654543	0.0507766	0.284104	0.315315	0.20562	0.0787292
a41	0.0884989	0.0533326	0.30995	0.319156	0.153983	0.0750798
a21	0.0636415	0.0435435	0.267589	0.316064	0.206905	0.102257
a24	0.0550269	0.0484422	0.228816	0.274342	0.225176	0.168197
a31	0.0701643	0.0567797	0.256571	0.272098	0.226338	0.118048
a39	0.0800038	0.0318179	0.232716	0.288316	0.196197	0.17095
a31	0.0832963	0.0927221	0.245446	0.251207	0.208777	0.118552
a28	0.199457	0.0539493	0.239826	0.202397	0.14119	0.16318
a31	0.163869	0.106787	0.287489	0.20409	0.147074	0.0906924
a20	0.420163	0.0564952	0.167888	0.131884	0.0886653	0.134904
a37	0.298846	0.10529	0.237081	0.171396	0.0995499	0.0878374
</S>	0.246566	0.108875	0.221097	0.200535	0.118392	0.104536
