 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a33	0.0732371	0.0776451	0.0786863	0.0790974	0.079087	0.0790398	0.0789863	0.0786187	0.0752799	0.0780456	0.0765975	0.0744216	0.0712576
a31	0.0291861	0.0647772	0.0707228	0.0951785	0.0949823	0.0949809	0.0950593	0.0926013	0.0925506	0.0961503	0.0910779	0.062819	0.0199138
a20	0.0548942	0.0957083	0.100156	0.118234	0.112481	0.10265	0.0940013	0.064732	0.0581154	0.100858	0.0693232	0.0218405	0.00700522
a31	0.0877957	0.0970892	0.0963378	0.100826	0.0874173	0.0724049	0.0650575	0.0492574	0.0638432	0.0986368	0.0877692	0.0678368	0.0257281
a28	0.0989373	0.109735	0.108702	0.114179	0.0973245	0.0785657	0.068501	0.0432774	0.0443921	0.103503	0.0769884	0.0422071	0.0136871
a20	0.0904716	0.100824	0.0999454	0.105002	0.089722	0.0731624	0.0651039	0.0473376	0.0585367	0.101057	0.0861227	0.0608358	0.0218788
a37	0.0868822	0.0932381	0.0925921	0.0957491	0.0851183	0.0723822	0.0658395	0.0513123	0.0652816	0.0940938	0.0859364	0.0738764	0.0376981
a31	0.0883163	0.0948563	0.0938188	0.0977976	0.0834267	0.0681024	0.0609739	0.0465535	0.0617682	0.0961357	0.0867435	0.0780973	0.0434098
a20	0.0995471	0.107786	0.106452	0.111603	0.0934258	0.0744362	0.0650216	0.043138	0.0472941	0.102838	0.0797368	0.049756	0.0189658
a31	0.086395	0.0934007	0.0930696	0.0958181	0.0874663	0.0766061	0.070541	0.0559296	0.0677943	0.0933433	0.0844283	0.0655411	0.0296666
a46	0.0992755	0.106808	0.106192	0.109871	0.0974137	0.0817845	0.0725062	0.048214	0.0475889	0.0979762	0.0739919	0.0419607	0.0164172
a20	0.0787012	0.0869987	0.0869598	0.0886007	0.0836704	0.0766386	0.0724761	0.0620535	0.0722154	0.0873404	0.0810348	0.0730478	0.0502626
a31	0.0809985	0.0850249	0.0849053	0.086251	0.0819282	0.0756729	0.0719054	0.0622859	0.0729456	0.0854314	0.0817245	0.0756857	0.0552407
a20	0.097582	0.105715	0.105395	0.108906	0.0970996	0.0820727	0.0731039	0.049877	0.0493483	0.0967971	0.0736469	0.0424509	0.0180059
a37	0.0838692	0.0914754	0.091489	0.0934655	0.0877279	0.0795862	0.0746289	0.0616677	0.0702551	0.090542	0.081653	0.0622644	0.0313757
a31	0.0830494	0.0910099	0.0907852	0.0935668	0.0839595	0.0721759	0.0660661	0.052842	0.0677184	0.0918305	0.0840949	0.075156	0.0477453
a17	0.0937396	0.104464	0.104926	0.10831	0.0980012	0.0842325	0.0756334	0.0528663	0.0510109	0.0952204	0.07207	0.0411591	0.0183673
a31	0.0720589	0.0887707	0.0893127	0.0917785	0.0861522	0.0782536	0.0736661	0.0624745	0.0717037	0.0897505	0.0793386	0.0693379	0.0474021
a18	0.0905653	0.108546	0.111073	0.114141	0.11031	0.102067	0.0930865	0.0630821	0.0355678	0.0821393	0.050681	0.0258869	0.0128536
a37	0.0656293	0.0902125	0.0917867	0.0945829	0.0915524	0.0867424	0.0835019	0.0737606	0.0714946	0.0902932	0.0745286	0.0553045	0.0306103
a20	0.0693607	0.0873645	0.0889303	0.0914522	0.0870731	0.0806685	0.0767396	0.0664303	0.0729547	0.088862	0.0789377	0.0672237	0.0440027
a31	0.0619411	0.0890194	0.0915744	0.0960857	0.0875869	0.0767459	0.070976	0.0582797	0.0709181	0.0934044	0.0796957	0.0723751	0.0513976
a11	0.0646544	0.10045	0.108185	0.114251	0.107303	0.096525	0.0885587	0.064582	0.0485437	0.0931866	0.0629168	0.0340205	0.0168233
a31	0.0481543	0.0908131	0.0951694	0.101194	0.0974279	0.0915702	0.0877691	0.0765996	0.0701827	0.0949548	0.0685898	0.0499259	0.0276495
a8	0.0467319	0.106814	0.124673	0.136905	0.132888	0.122583	0.110158	0.0692093	0.0207455	0.0746737	0.0319338	0.0147653	0.00792026
</S>	0.027187	0.0848716	0.0974186	0.122121	0.119689	0.114058	0.110109	0.0940767	0.0474286	0.0975129	0.0409982	0.0274093	0.017119
