 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a23	0.0291379	0.104875	0.116804	0.121259	0.0939663	0.0739941	0.0625401	0.113775	0.0880892	0.0912307	0.104329
a31	0.0586326	0.0810876	0.0955112	0.106824	0.110541	0.112181	0.112694	0.11458	0.106431	0.0746213	0.0268966
a20	0.0494465	0.0731128	0.0756211	0.0896225	0.133054	0.133453	0.145763	0.162923	0.094459	0.032935	0.00961067
a31	0.0493441	0.0544923	0.049538	0.0545239	0.102769	0.119979	0.143956	0.162877	0.11837	0.0995708	0.0445797
a7	0.0524167	0.0625678	0.0555407	0.0562607	0.108551	0.119475	0.152469	0.19016	0.111906	0.0667038	0.0239492
a31	0.0508095	0.05807	0.052278	0.0554067	0.105399	0.120713	0.149137	0.176012	0.115215	0.082557	0.0344031
a24	0.049199	0.0601267	0.0536468	0.0507736	0.095702	0.106114	0.148641	0.207219	0.110048	0.0806464	0.0378833
a37	0.0594951	0.0736472	0.0651159	0.0744817	0.120627	0.123437	0.136286	0.156431	0.101864	0.0607598	0.027855
a31	0.0444344	0.0568188	0.0512349	0.0581433	0.103196	0.115572	0.133723	0.155016	0.115537	0.100649	0.0656759
a11	0.0617986	0.08916	0.0773978	0.0829103	0.120618	0.100803	0.110799	0.174012	0.0886743	0.0567023	0.0371247
a31	0.0507538	0.0883913	0.0819653	0.0939399	0.108994	0.110929	0.111689	0.13689	0.103678	0.06957	0.0431998
a3	0.0697096	0.153786	0.139603	0.131755	0.114899	0.0583156	0.0513535	0.168876	0.0463379	0.0339134	0.0314496
a27	0.0408803	0.117252	0.118698	0.127352	0.103209	0.0907049	0.0812341	0.150825	0.083705	0.0493306	0.0368095
a20	0.0270901	0.0989556	0.112806	0.120733	0.0760111	0.0837684	0.0816541	0.146407	0.106675	0.0805552	0.0653444
a31	0.0268213	0.0970509	0.106066	0.113031	0.0839533	0.0902596	0.091426	0.12967	0.105717	0.0871527	0.068852
a20	0.0245628	0.191401	0.204477	0.181372	0.07987	0.0268005	0.0241765	0.177001	0.0300144	0.0256612	0.0346629
a11	0.0195957	0.0972113	0.121799	0.132593	0.0689958	0.0770996	0.0819991	0.179455	0.10936	0.0656689	0.0462223
a13	0.0120188	0.0940363	0.123572	0.137757	0.0671679	0.0702619	0.0728261	0.176212	0.107268	0.0768367	0.0620435
a28	0.0100041	0.0891566	0.118155	0.133284	0.065641	0.0707039	0.075102	0.170107	0.109969	0.0853222	0.0725544
a31	0.00809224	0.0897366	0.119913	0.13748	0.0659594	0.0668794	0.0723942	0.174792	0.108046	0.0855724	0.0711349
a39	0.0128397	0.174133	0.237836	0.213421	0.0459429	0.0133327	0.0140171	0.195383	0.0249471	0.0247334	0.0434142
a31	0.0193901	0.0877313	0.121805	0.134495	0.0641786	0.0617649	0.06303	0.217378	0.10698	0.0662362	0.0570114
a8	0.0138969	0.244166	0.33871	0.19657	0.0212454	0.00699026	0.00914876	0.123467	0.0111244	0.0122473	0.0224341
</S>	0.0310937	0.101286	0.131429	0.140289	0.0755934	0.0579273	0.0530549	0.216252	0.0891977	0.0542656	0.0496107
