 	lo	sentii	che	viene	</S>
a43	0.161946	0.207877	0.17311	0.258344	0.198724
a17	0.188691	0.207861	0.280016	0.222861	0.10057
a11	0.131001	0.23376	0.284263	0.259419	0.0915557
a31	0.0731207	0.233768	0.20209	0.317077	0.173943
a46	0.0444521	0.173619	0.102368	0.42891	0.250651
a6	0.0896865	0.228692	0.198189	0.271196	0.212236
a31	0.112389	0.210561	0.200615	0.243239	0.233196
a15	0.042577	0.135005	0.0776551	0.389346	0.355417
a20	0.134136	0.216764	0.208536	0.236855	0.20371
a31	0.127035	0.217622	0.199597	0.247012	0.208734
a17	0.0344038	0.113982	0.0615954	0.386676	0.403342
a31	0.134672	0.209537	0.204782	0.246841	0.204168
a13	0.0274926	0.0524675	0.0304125	0.291772	0.597855
a39	0.110363	0.169324	0.15561	0.289432	0.27527
a46	0.0929934	0.140254	0.160524	0.29538	0.310848
a31	0.0870838	0.12732	0.167342	0.287008	0.331246
a18	0.0227321	0.039492	0.0267046	0.220018	0.691053
</S>	0.0640774	0.0937904	0.106636	0.323662	0.411835
