 	non	ci	dimentichiamo	mai	</S>
a31	0.0994091	0.209545	0.367262	0.200451	0.123332
a20	0.0463846	0.467823	0.351944	0.0978619	0.0359872
a31	0.0318191	0.38863	0.393455	0.139606	0.04649
a11	0.0220305	0.389574	0.394786	0.14376	0.0498501
a20	0.0202049	0.412925	0.399362	0.122246	0.0452624
a31	0.0152739	0.35719	0.422309	0.152018	0.0532086
a11	0.0146571	0.339014	0.402041	0.176784	0.0675039
a31	0.0149034	0.354451	0.428911	0.143326	0.0584095
a18	0.0139255	0.299748	0.413108	0.19022	0.0829992
a42	0.0118941	0.246678	0.478633	0.178252	0.0845432
a31	0.0154691	0.176046	0.45327	0.234349	0.120866
a18	0.00970179	0.121587	0.460791	0.225386	0.182534
a31	0.00501658	0.0637095	0.499844	0.213117	0.218313
a39	0.00652202	0.0596296	0.459756	0.215649	0.258443
a31	0.00572184	0.0556957	0.483353	0.208395	0.246835
a20	0.00710619	0.0410264	0.436252	0.204776	0.310839
a39	0.0111026	0.0461092	0.428741	0.216404	0.297643
a31	0.0105046	0.0436516	0.424493	0.193897	0.327454
a14	0.0104288	0.0286925	0.379339	0.194312	0.387228
a46	0.0342479	0.0767115	0.397337	0.198882	0.292822
a20	0.0161194	0.0625033	0.389377	0.173637	0.358363
a31	0.051869	0.0914285	0.395602	0.184571	0.276529
</S>	0.0152927	0.0329608	0.324035	0.171155	0.456556
