 	il	lenzuolo	vuole	lavato	</S>
a31	0.0898697	0.137495	0.301286	0.179861	0.291488
a7	0.275573	0.361088	0.347052	0.00371698	0.0125703
a31	0.380215	0.303302	0.284111	0.0130852	0.0192867
a0	0.386572	0.290252	0.294121	0.00673882	0.0223153
a17	0.382134	0.268827	0.285516	0.0133299	0.0501931
a13	0.336942	0.242689	0.269727	0.0329058	0.117735
a31	0.272192	0.199874	0.216595	0.061178	0.250161
a17	0.30951	0.218669	0.287976	0.0165797	0.167266
a8	0.235868	0.217479	0.235292	0.0609701	0.250391
a31	0.169078	0.209964	0.237223	0.06332	0.320415
a24	0.239875	0.20093	0.368103	0.0132895	0.177803
a46	0.221462	0.263894	0.358159	0.0278267	0.128658
a24	0.0839708	0.24064	0.380457	0.040885	0.254047
a37	0.0915339	0.177823	0.411052	0.0321415	0.28745
a31	0.0451559	0.0993326	0.363613	0.0194072	0.472492
</S>	0.0415166	0.0675489	0.440572	0.00434305	0.44602
