 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
a31	0.0976122	0.103682	0.108091	0.108915	0.090057	0.0994766	0.0945348	0.100525	0.10247	0.0946363
a20	0.0479825	0.078251	0.211091	0.290525	0.0053003	0.0970877	0.112756	0.0961163	0.0488857	0.0120053
a31	0.121786	0.141726	0.118063	0.125132	0.0126108	0.0604948	0.106726	0.141835	0.111807	0.0598188
a21	0.153609	0.179839	0.149569	0.156404	0.00598523	0.0361531	0.0710574	0.114393	0.0871571	0.0458329
a31	0.142648	0.136329	0.107117	0.11295	0.0119055	0.0534933	0.0969542	0.141897	0.121322	0.0753849
a13	0.18578	0.189059	0.150476	0.155755	0.0045778	0.0263565	0.0524404	0.101442	0.0829315	0.0511809
a31	0.149184	0.146389	0.117556	0.123519	0.00958238	0.0504915	0.0931902	0.135552	0.110366	0.0641698
a6	0.19364	0.190882	0.151804	0.156593	0.00403436	0.0258737	0.0500987	0.0949317	0.0799024	0.0522406
a46	0.126672	0.127561	0.11477	0.11827	0.0155214	0.0748143	0.106926	0.125224	0.112603	0.0776388
a31	0.119239	0.118103	0.106567	0.109648	0.0196249	0.076603	0.105495	0.122763	0.119116	0.102841
a46	0.190786	0.195098	0.169015	0.169194	0.00299338	0.0306895	0.0473834	0.0764827	0.0681806	0.0501785
a11	0.121437	0.123932	0.115374	0.118283	0.017511	0.0794847	0.105508	0.122291	0.113077	0.0831023
a37	0.122463	0.1218	0.10938	0.112918	0.019121	0.0749654	0.104256	0.122976	0.117615	0.0945051
a18	0.137505	0.13089	0.106246	0.112283	0.0132113	0.0535515	0.0887491	0.13192	0.127992	0.0976524
a46	0.129406	0.124498	0.10305	0.108622	0.0164993	0.0597932	0.0953167	0.130959	0.1282	0.103654
a31	0.116046	0.113874	0.0987569	0.102948	0.0242513	0.0708044	0.103392	0.12576	0.125471	0.118698
a20	0.166262	0.160737	0.136069	0.141775	0.00815374	0.0497064	0.0754712	0.105385	0.0921227	0.064318
a35	0.126204	0.127286	0.112115	0.117354	0.0182305	0.0688815	0.100837	0.125578	0.117617	0.0858972
a6	0.109914	0.11253	0.0998821	0.104906	0.0234309	0.0697566	0.102922	0.127883	0.129001	0.119774
a13	0.0972804	0.106043	0.101596	0.105656	0.0256661	0.0777338	0.106947	0.124175	0.127265	0.127639
a28	0.111383	0.11281	0.101247	0.106202	0.0252976	0.0711789	0.101309	0.123224	0.126477	0.120871
a31	0.117264	0.112999	0.0918199	0.0986398	0.0228316	0.0558431	0.0868239	0.135303	0.142871	0.135604
a10	0.140654	0.146083	0.131564	0.141051	0.010717	0.0494042	0.0708813	0.108814	0.115223	0.0856094
a24	0.103994	0.115136	0.108819	0.117873	0.0179527	0.0624812	0.091941	0.126026	0.136782	0.118995
a31	0.110117	0.115647	0.101608	0.110808	0.0177225	0.056342	0.0863558	0.134483	0.144252	0.122664
</S>	0.134636	0.167902	0.185188	0.20251	0.00409031	0.0390213	0.0405171	0.0688452	0.0843668	0.0729242
