 	un	forno	che	fa	buon	pane	</S>
a31	0.153535	0.160028	0.134484	0.151539	0.157106	0.133281	0.110028
a20	0.154114	0.338822	0.200282	0.156469	0.102012	0.0354422	0.0128601
a28	0.166799	0.210455	0.182662	0.197977	0.139889	0.0686235	0.0335962
a31	0.166244	0.204358	0.17623	0.194254	0.144823	0.07416	0.0399305
a18	0.186046	0.247611	0.15176	0.196546	0.122628	0.0634658	0.0319427
a13	0.180691	0.212354	0.178682	0.190674	0.132166	0.0686326	0.0368001
a39	0.153333	0.181149	0.163435	0.178438	0.163084	0.0998011	0.0607603
a20	0.148092	0.166007	0.155666	0.16357	0.161802	0.121607	0.0832572
a31	0.150708	0.17795	0.160373	0.175511	0.164422	0.105162	0.065873
a20	0.179641	0.235523	0.151923	0.193959	0.126938	0.0691806	0.0428365
a39	0.180696	0.203189	0.174687	0.18314	0.137408	0.0751044	0.0457748
a18	0.146229	0.163989	0.15136	0.158039	0.163121	0.126125	0.0911376
a39	0.1507	0.16979	0.156392	0.165418	0.16171	0.115628	0.0803623
a46	0.141009	0.160763	0.149693	0.157051	0.162615	0.130607	0.0982625
a38	0.140468	0.156142	0.144771	0.149765	0.160611	0.137325	0.110919
a39	0.139803	0.152205	0.142352	0.145722	0.157061	0.141223	0.121633
a31	0.13962	0.155058	0.145403	0.150386	0.158664	0.137414	0.113454
a18	0.165504	0.197462	0.153903	0.180601	0.154037	0.0863272	0.0621664
a31	0.154447	0.171263	0.155318	0.161665	0.161601	0.114441	0.0812645
a41	0.19889	0.228525	0.145546	0.175512	0.119884	0.072455	0.0591881
a35	0.17647	0.19022	0.157613	0.161662	0.153636	0.0924184	0.0679808
a31	0.147119	0.161101	0.13256	0.134373	0.172188	0.141486	0.111173
a28	0.210649	0.235513	0.129512	0.165569	0.120125	0.0745238	0.0641086
a27	0.169961	0.193552	0.141177	0.146756	0.170609	0.102316	0.0756277
a13	0.142245	0.160071	0.114827	0.113697	0.18889	0.156546	0.123723
a46	0.140109	0.163626	0.12885	0.130882	0.177307	0.14486	0.114366
a24	0.136663	0.15656	0.117471	0.117887	0.183567	0.158354	0.129497
a39	0.141231	0.174949	0.14136	0.152523	0.177426	0.124249	0.0882613
a31	0.139803	0.16065	0.124437	0.124026	0.178858	0.150872	0.121354
a11	0.180371	0.223271	0.120815	0.157162	0.158253	0.0882888	0.0718389
a31	0.146518	0.172587	0.114816	0.11273	0.196926	0.146875	0.109548
a21	0.199657	0.268228	0.0783313	0.123947	0.154038	0.0919937	0.0838053
</S>	0.119402	0.134144	0.0741114	0.0694402	0.242958	0.20241	0.157534
