 	questo	muro	vuole	uno	specchio	</S>
a31	0.246224	0.194471	0.105945	0.116296	0.174249	0.162815
a24	0.520796	0.206973	0.0790021	0.103464	0.0577245	0.0320395
a31	0.457781	0.0701511	0.0769483	0.169072	0.156252	0.0697953
a41	0.543344	0.0472176	0.0354454	0.105538	0.184345	0.0841097
a39	0.464986	0.0661596	0.0656163	0.156187	0.167441	0.0796106
a43	0.285969	0.0724448	0.103912	0.216485	0.20252	0.11867
a24	0.207813	0.0794092	0.125305	0.196884	0.211694	0.178895
a37	0.265444	0.0738019	0.103178	0.217556	0.207623	0.132397
a20	0.266276	0.0612297	0.0716632	0.215408	0.240529	0.144894
a41	0.250249	0.0716037	0.10105	0.218833	0.21826	0.140004
a18	0.24067	0.0670091	0.0913765	0.217151	0.230105	0.153688
a31	0.220825	0.0707185	0.104726	0.211844	0.225287	0.166599
a11	0.426429	0.0623398	0.0437592	0.133108	0.194445	0.139919
a31	0.243042	0.0849482	0.123543	0.209615	0.198321	0.140531
a29	0.553743	0.0563584	0.023003	0.0583931	0.165778	0.142724
a7	0.322931	0.0937485	0.0958251	0.179513	0.178287	0.129696
a31	0.259208	0.0675763	0.0719161	0.188148	0.236883	0.17627
a37	0.617346	0.0481593	0.0122496	0.0303992	0.145583	0.146263
a31	0.397827	0.0859933	0.0576029	0.128437	0.179686	0.150453
a20	0.776608	0.0194344	0.00234538	0.00587821	0.0711552	0.124578
</S>	0.460471	0.113421	0.0413088	0.0657622	0.14667	0.172366
