 	sul	muro	vuole	uno	specchio	</S>
a31	0.147039	0.17653	0.0792122	0.12169	0.239569	0.23596
a39	0.341771	0.109078	0.0582723	0.0927905	0.264376	0.133711
a35	0.0781482	0.0393232	0.0382295	0.16209	0.450066	0.232143
a31	0.063456	0.0302702	0.0329271	0.168536	0.420015	0.284795
a2	0.0524583	0.0282724	0.0126689	0.0425699	0.533461	0.33057
a0	0.0576672	0.0296629	0.0107768	0.0290295	0.530369	0.342495
a20	0.0825183	0.0361513	0.0277103	0.142423	0.43571	0.275487
a18	0.0965479	0.0378292	0.0253051	0.123317	0.426786	0.290215
a31	0.0851646	0.038152	0.0386596	0.187044	0.379814	0.271166
a0	0.0517788	0.017977	0.00631054	0.0205834	0.463374	0.439976
a31	0.14193	0.0654055	0.0587209	0.173224	0.32398	0.23674
a46	0.0690179	0.0165829	0.00313296	0.00873178	0.349775	0.552759
a33	0.20126	0.079488	0.0285927	0.0834572	0.309225	0.297978
a8	0.208834	0.10793	0.0374026	0.085407	0.280322	0.280104
a31	0.157612	0.104727	0.0513587	0.103491	0.289218	0.293594
</S>	0.0660558	0.0179771	0.00272237	0.00937684	0.24317	0.660698
