 	oggi	abbiamo	deciso	di	andare	al	mare	alla	spiaggia	sono	andati	tutti	solamente	mio	fratello	non	</S>
a23	0.0519466	0.0486812	0.0516564	0.0650398	0.066131	0.0685125	0.0686183	0.0682852	0.0658644	0.0654848	0.0623037	0.0654833	0.0390929	0.0535641	0.0510713	0.0540153	0.0542491
a31	0.02133	0.0188585	0.015439	0.0332318	0.0385549	0.0838596	0.0896098	0.100592	0.10158	0.0886897	0.089819	0.0673654	0.0128777	0.0990927	0.0896006	0.0390623	0.0104368
a20	0.0285564	0.0269185	0.0220782	0.0438761	0.0506423	0.109597	0.106814	0.115641	0.111854	0.0951464	0.0802711	0.0641271	0.00108387	0.0724809	0.056645	0.0113802	0.00288763
a31	0.0638528	0.0613744	0.0558518	0.0757979	0.0784759	0.0885037	0.0876301	0.0853285	0.0694134	0.0662421	0.0398821	0.0467771	0.00446611	0.052355	0.0658109	0.0423842	0.015854
a28	0.0496443	0.0472171	0.0389379	0.0699687	0.0762511	0.106546	0.101828	0.100588	0.0866896	0.0805553	0.0533964	0.0562739	0.0015594	0.050041	0.0543866	0.0201952	0.00592246
a37	0.0754091	0.0724718	0.0701176	0.0855804	0.0870931	0.0920248	0.0900017	0.0842272	0.0593243	0.0562182	0.0317985	0.0374881	0.00323527	0.0372672	0.0572621	0.0427088	0.0177719
a16	0.0724282	0.0690736	0.0671675	0.0817029	0.0831061	0.0876388	0.0864692	0.0820348	0.0603759	0.0575358	0.032464	0.0389024	0.00369414	0.0399537	0.0598861	0.0516618	0.0259052
a21	0.066984	0.0630198	0.0611801	0.074662	0.0759895	0.0803148	0.0799443	0.0775804	0.0629154	0.060712	0.0361912	0.0438108	0.00644835	0.0499986	0.0651364	0.0591585	0.0359539
a31	0.0697131	0.0640034	0.0644285	0.0747581	0.0754585	0.0774646	0.0770601	0.0737584	0.0563339	0.0543598	0.0312521	0.0382017	0.00859078	0.0464975	0.0636807	0.0664671	0.0579719
a37	0.0821947	0.0798757	0.0802827	0.0924323	0.0932872	0.0954036	0.091946	0.083434	0.0541469	0.0510855	0.0289794	0.0336582	0.00210702	0.0240219	0.0449702	0.0411622	0.0210123
a21	0.0728093	0.0681064	0.0674053	0.0825241	0.08384	0.0877862	0.0864938	0.0818664	0.0599441	0.0572413	0.0321938	0.0389451	0.00373693	0.0392598	0.0583499	0.051863	0.0276344
a27	0.0680329	0.060359	0.0608575	0.0735562	0.0744626	0.0770322	0.0767507	0.073982	0.0585139	0.0567428	0.0335992	0.0411269	0.00922593	0.0488426	0.063772	0.065653	0.0574908
a41	0.0671902	0.0628714	0.0632517	0.0712604	0.0718096	0.0733488	0.0731133	0.0710016	0.0584541	0.0568578	0.0344742	0.0421417	0.0116664	0.0506912	0.063999	0.0662406	0.0616279
a10	0.0712023	0.0681871	0.06878	0.0767805	0.0773146	0.0788048	0.0781832	0.0742788	0.0549461	0.0527517	0.0296416	0.0362178	0.00707511	0.0426644	0.0619001	0.0654649	0.055807
a3	0.0742979	0.0718822	0.0730177	0.0817274	0.0822533	0.0836826	0.0825534	0.0761963	0.0505371	0.0480922	0.0269775	0.0322351	0.0056114	0.0360575	0.0585648	0.0640668	0.0522468
a11	0.0723141	0.0698084	0.0707287	0.0783522	0.0788326	0.0801125	0.0793136	0.0748532	0.0539573	0.05169	0.0288595	0.0351772	0.00706537	0.0410613	0.0609602	0.0642008	0.0527132
a8	0.0693901	0.0666916	0.0674222	0.0738775	0.0742898	0.0753789	0.0749278	0.072105	0.0567533	0.0548754	0.0317237	0.0390452	0.0101095	0.0469574	0.0629159	0.0654177	0.058119
a20	0.0659972	0.0563271	0.056957	0.0712619	0.0722967	0.07524	0.0750955	0.0725692	0.0581683	0.0566656	0.0344475	0.0420276	0.0141406	0.0506932	0.0639622	0.067094	0.0670563
a15	0.0655598	0.0618612	0.0624364	0.0689213	0.0693483	0.0704654	0.0702901	0.0689064	0.0601631	0.0589879	0.0389005	0.0467059	0.0151537	0.052986	0.0627335	0.0644619	0.0621185
a31	0.066979	0.0590198	0.0598546	0.0722948	0.0731436	0.075497	0.0752408	0.0723431	0.05646	0.0547513	0.032133	0.0394668	0.0143078	0.0488447	0.0637828	0.0677229	0.0681582
a0	0.0697421	0.0694787	0.070872	0.075114	0.0753872	0.0758667	0.0752737	0.0728787	0.0597244	0.0579525	0.0342484	0.0423052	0.0067862	0.0418213	0.0568676	0.060746	0.0549354
a8	0.0663323	0.0598487	0.0605582	0.0709981	0.0717077	0.0736436	0.0734307	0.0712747	0.0586126	0.0571178	0.0349625	0.042761	0.0142054	0.0511381	0.0636874	0.0660498	0.0636714
