 	se	avevi	visto	tempo	il	tempo	non	fossi	venuto	che	ti	bagna	tutto	</S>
a20	0.066652	0.0677001	0.0751838	0.0752955	0.0768179	0.0762644	0.0752514	0.0748747	0.0740563	0.0696487	0.0604239	0.0733555	0.0706085	0.0638673
a31	0.01292	0.0128181	0.0286609	0.028721	0.0678593	0.0957068	0.14815	0.162904	0.176233	0.165235	0.0647455	0.029152	0.00502119	0.00187344
a37	0.0126583	0.013612	0.0640981	0.0642991	0.10514	0.116974	0.128398	0.130305	0.13227	0.116035	0.0731493	0.0390745	0.0025775	0.00140963
a31	0.0255577	0.0286665	0.0883046	0.0882176	0.0991832	0.100852	0.101084	0.100468	0.101493	0.094207	0.081402	0.0714735	0.0138344	0.00525663
a37	0.0140992	0.015494	0.0750254	0.0751548	0.10758	0.115359	0.121734	0.12247	0.123859	0.10723	0.0721721	0.0445819	0.0034505	0.00179045
a31	0.0379157	0.0435906	0.0918826	0.0916525	0.0971144	0.0974304	0.0956646	0.0942999	0.0958506	0.0858997	0.0741076	0.0710698	0.0172055	0.00631618
a37	0.0289927	0.0337824	0.0942126	0.0940885	0.103522	0.104713	0.103782	0.102704	0.104065	0.0886851	0.0684411	0.0589124	0.00995168	0.00414825
a18	0.0491217	0.0567912	0.0929008	0.092471	0.0955302	0.0950863	0.0919424	0.08997	0.0918395	0.0791689	0.0665231	0.0703079	0.0209951	0.00735201
a21	0.0592251	0.0630241	0.0858814	0.0852725	0.0871863	0.0865247	0.0840228	0.0824768	0.083216	0.0756171	0.0671025	0.0788199	0.0439685	0.0176624
a24	0.0703466	0.0682349	0.0790661	0.0781879	0.0794328	0.0784884	0.0762838	0.0749712	0.0744867	0.0686266	0.0600246	0.0773737	0.0680644	0.0464122
a31	0.059945	0.063483	0.0824329	0.0820781	0.083562	0.0831991	0.0815783	0.0805569	0.0812018	0.0759712	0.0695727	0.0777227	0.0519197	0.0267766
a14	0.0711229	0.0828672	0.0892541	0.0888414	0.088957	0.0879709	0.0838619	0.0815191	0.0840065	0.0696847	0.0576304	0.0675985	0.0328538	0.0138316
a7	0.0632713	0.0628965	0.0861334	0.0853897	0.0875885	0.0869505	0.0852394	0.084204	0.0835841	0.0765051	0.0644024	0.075491	0.039978	0.0183661
a31	0.0707221	0.0727519	0.0804366	0.0797661	0.0805861	0.07969	0.0771018	0.0756084	0.0761382	0.0693364	0.0610117	0.0765305	0.0614108	0.0389094
