 	non	aveva	da	stare	</S>
a37	0.15524	0.22553	0.311347	0.226937	0.0809466
a38	0.104037	0.181555	0.275972	0.373207	0.0652296
a24	0.0802168	0.188115	0.291835	0.376405	0.0634285
a8	0.0508534	0.230794	0.359352	0.30846	0.0505396
a17	0.106251	0.229634	0.28144	0.277101	0.105574
a31	0.117678	0.222828	0.243404	0.251649	0.16444
a20	0.0652438	0.219691	0.332035	0.274728	0.108302
a8	0.156658	0.224456	0.242805	0.232966	0.143114
a31	0.16522	0.216023	0.226233	0.21965	0.172874
a20	0.0738263	0.21066	0.42765	0.221981	0.0658822
a31	0.172935	0.233649	0.269283	0.223288	0.100845
a8	0.0460238	0.187936	0.510009	0.207115	0.0489169
a31	0.148048	0.243849	0.370877	0.190794	0.046432
</S>	0.0321252	0.172891	0.50896	0.231325	0.0546991
