 	è	facile	che	stanno	ancora	svegli	</S>
a31	0.0882525	0.0155476	0.0665363	0.11378	0.21154	0.261412	0.242931
a39	0.263479	0.0322208	0.0339875	0.134713	0.247033	0.195199	0.0933672
a31	0.078047	0.0227986	0.0253238	0.0697927	0.222035	0.366219	0.215785
a0	0.0508287	0.0104268	0.0125394	0.0281361	0.144501	0.486533	0.267034
a31	0.075088	0.0186265	0.0219129	0.0645992	0.221738	0.366153	0.231882
a13	0.0431806	0.00841006	0.0106165	0.0240133	0.125513	0.485725	0.302542
a31	0.0777846	0.0134415	0.0174425	0.0607231	0.242755	0.36182	0.226034
a37	0.0384163	0.00486216	0.00827491	0.0232196	0.11819	0.470652	0.336385
a31	0.0616925	0.00507198	0.0111825	0.0445731	0.21377	0.395999	0.267711
a11	0.0229117	0.00148259	0.00467125	0.0176203	0.0800608	0.474611	0.398643
a39	0.0554138	0.00277755	0.014237	0.0713344	0.17799	0.385342	0.292905
a0	0.044837	0.00468031	0.0373534	0.127647	0.201297	0.344324	0.23986
a41	0.0468992	0.00545973	0.0509856	0.135362	0.220936	0.315812	0.224545
a0	0.0444741	0.00309838	0.0333529	0.0989278	0.243799	0.332201	0.244147
a20	0.0340118	0.00245054	0.0326602	0.100248	0.245437	0.31999	0.265202
a31	0.0274597	0.00145549	0.0206061	0.0707691	0.240729	0.353774	0.285206
a30	0.00492055	0.000475497	0.00165541	0.00814379	0.0381938	0.437312	0.509299
a41	0.0231771	0.00104413	0.0190061	0.0652043	0.220782	0.385268	0.285519
a31	0.0150357	0.000712044	0.0146625	0.0530723	0.221672	0.391687	0.303159
</S>	0.00347362	0.000599163	0.00186698	0.00656118	0.0181721	0.397668	0.571659
