 	voglio	un	forno	che	vende	rustici	</S>
a31	0.15519	0.162991	0.152456	0.139545	0.139148	0.119806	0.130864
a37	0.15107	0.188517	0.201279	0.152286	0.19324	0.0923275	0.0212817
a31	0.152747	0.170244	0.214641	0.144404	0.123277	0.123221	0.071466
a17	0.210887	0.229494	0.253873	0.111385	0.0861622	0.0669351	0.0412632
a20	0.154488	0.168879	0.199897	0.143768	0.127668	0.122779	0.0825201
a31	0.154214	0.166822	0.184572	0.14694	0.13503	0.127887	0.0845338
a41	0.234949	0.241314	0.242094	0.101144	0.0772283	0.0571329	0.046138
a24	0.166744	0.181411	0.191854	0.144253	0.13541	0.114941	0.0653868
a31	0.166595	0.180726	0.194279	0.143104	0.131955	0.113669	0.0696723
a39	0.251527	0.252529	0.224626	0.0955454	0.0751056	0.050183	0.0504843
a31	0.162421	0.183278	0.16771	0.143118	0.160557	0.106668	0.0762476
a8	0.378777	0.326906	0.153774	0.0496063	0.0390504	0.0196758	0.0322094
a26	0.17145	0.213112	0.157846	0.12693	0.178252	0.0772853	0.0751249
a23	0.173915	0.200275	0.166344	0.13548	0.162293	0.0899288	0.0717641
a31	0.137323	0.176206	0.145966	0.135991	0.199354	0.0911305	0.114029
a20	0.39936	0.345799	0.136033	0.0411853	0.0347561	0.0134567	0.029409
a39	0.152518	0.204153	0.159027	0.132267	0.208381	0.0746439	0.0690103
a11	0.138432	0.187219	0.147286	0.133007	0.215699	0.0811599	0.0971975
a37	0.151315	0.187572	0.158232	0.139166	0.183018	0.0877066	0.0929908
a14	0.149261	0.190986	0.167376	0.140944	0.181507	0.0811362	0.0887893
a24	0.139963	0.190641	0.166835	0.141183	0.194136	0.0759019	0.0913398
a28	0.147896	0.19013	0.179222	0.14496	0.171739	0.0808691	0.0851837
a20	0.124087	0.187589	0.171788	0.14264	0.205645	0.0680109	0.100241
a8	0.112903	0.185126	0.162105	0.138731	0.23564	0.0630704	0.102425
</S>	0.0983091	0.160382	0.12746	0.116925	0.325751	0.0698158	0.101357
