 	deve	che	entra	da	qui	</S>
a31	0.0376541	0.0283622	0.017261	0.238073	0.335989	0.342661
a21	0.395495	0.179965	0.111505	0.215071	0.0749831	0.0229813
a31	0.115534	0.157022	0.132171	0.243914	0.223364	0.127994
a20	0.105034	0.111996	0.0799822	0.366767	0.253869	0.0823516
a11	0.0681812	0.0787699	0.0750845	0.292619	0.308801	0.176545
a31	0.0637734	0.0745994	0.0575348	0.27038	0.306434	0.227278
a37	0.0218919	0.0209809	0.0161013	0.273216	0.38093	0.28688
a31	0.0314009	0.0332577	0.0202753	0.276446	0.3469	0.29172
a8	0.00393272	0.00293902	0.00326627	0.21006	0.42623	0.353572
a31	0.0125456	0.00985241	0.00670486	0.27398	0.369962	0.326955
a46	0.00249939	0.00138998	0.00330213	0.129394	0.459564	0.40385
a31	0.00216948	0.000821553	0.0025773	0.160951	0.463924	0.369557
</S>	0.00496372	0.00305043	0.00727009	0.125458	0.435509	0.423748
