 	non	ha	che	li	aspettiamo	</S>
a46	0.137357	0.0770715	0.105216	0.164694	0.301529	0.214133
a31	0.144492	0.18125	0.21425	0.103578	0.216915	0.139515
a15	0.0521826	0.0468819	0.160962	0.228056	0.407039	0.104879
a31	0.0450068	0.0538411	0.153617	0.27988	0.309106	0.158549
a28	0.0195075	0.0148633	0.0639029	0.323455	0.433438	0.144833
a20	0.0298957	0.0275501	0.106061	0.316351	0.369006	0.151135
a11	0.032103	0.0328073	0.11601	0.297239	0.339942	0.181899
a31	0.042654	0.0492092	0.144933	0.26797	0.293429	0.201805
a11	0.0140116	0.00919555	0.0445801	0.286827	0.459533	0.185853
a31	0.0552217	0.0653988	0.171832	0.259771	0.295536	0.15224
a46	0.0116225	0.00595871	0.0270094	0.180105	0.540341	0.234963
a31	0.0378309	0.0472369	0.148862	0.210027	0.351623	0.20442
a11	0.00458851	0.00202593	0.00716558	0.0332456	0.686229	0.266746
a31	0.017896	0.00752995	0.0355888	0.110457	0.582808	0.24572
a11	0.00144305	0.000960089	0.0039209	0.0143197	0.763696	0.21566
a46	0.00510009	0.00180654	0.0126199	0.0486258	0.686137	0.245711
</S>	0.0143209	0.00569804	0.022601	0.0591839	0.664055	0.234141
