 	lo	posso	finire	di	fare	</S>
a20	0.0600094	0.0473166	0.118273	0.306807	0.264648	0.202946
a31	0.124097	0.155793	0.12757	0.270807	0.212174	0.109559
a46	0.0233788	0.0200929	0.0394447	0.444599	0.291551	0.180933
a31	0.0162749	0.016556	0.0373997	0.394244	0.296105	0.23942
a41	0.0115786	0.0106138	0.0244149	0.338938	0.277357	0.337098
a18	0.015547	0.0157497	0.0373276	0.370308	0.288016	0.273051
a7	0.0173512	0.0195075	0.0470241	0.332656	0.299499	0.283962
a41	0.0152741	0.0169124	0.0438211	0.325591	0.30778	0.290622
a31	0.0129234	0.0137498	0.0429946	0.299153	0.307807	0.323372
a0	0.00119509	0.00130987	0.00834175	0.30554	0.263317	0.420296
a31	0.0106025	0.0125354	0.0922898	0.348941	0.297832	0.2378
a39	0.000343791	0.000541013	0.00312469	0.158117	0.16962	0.668254
a46	0.00537722	0.00479865	0.0469649	0.400514	0.29636	0.245986
</S>	0.00401134	0.00278196	0.0371895	0.362064	0.30444	0.289513
