 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.0550252	0.0625544	0.150127	0.169105	0.174854	0.208321	0.180014
a31	0.147762	0.183743	0.196752	0.201187	0.152094	0.0874945	0.0309681
a6	0.18186	0.184208	0.197589	0.22349	0.10407	0.0862354	0.0225475
a31	0.13341	0.117281	0.131857	0.158247	0.159072	0.189008	0.111125
a37	0.180466	0.155007	0.156703	0.197254	0.101109	0.154327	0.0551348
a31	0.132298	0.114339	0.123988	0.162645	0.137225	0.238457	0.0910474
a17	0.160126	0.135126	0.131574	0.176529	0.0951741	0.219186	0.0822841
a31	0.127898	0.113021	0.130389	0.163459	0.155794	0.206151	0.103288
a17	0.18506	0.157119	0.158098	0.195156	0.0828367	0.149086	0.0726443
a31	0.128851	0.122042	0.144391	0.170165	0.15745	0.182668	0.0944333
a8	0.197938	0.178298	0.179622	0.195903	0.0630004	0.117873	0.0673652
a31	0.109555	0.123843	0.157914	0.173114	0.159811	0.173892	0.101871
a28	0.199716	0.193467	0.195843	0.186494	0.043832	0.111568	0.06908
a0	0.128619	0.144132	0.194272	0.204697	0.12315	0.13634	0.0687896
a41	0.109121	0.130126	0.170822	0.177933	0.157264	0.163733	0.091
a39	0.106612	0.117343	0.160314	0.172228	0.16206	0.17335	0.108093
a31	0.0820327	0.0948851	0.148121	0.16711	0.166703	0.188305	0.152844
a39	0.110191	0.107266	0.183724	0.217717	0.107021	0.173855	0.100226
a31	0.0617017	0.0941778	0.174692	0.188668	0.172464	0.188697	0.1196
a18	0.100567	0.111794	0.212263	0.215203	0.0482646	0.184459	0.127449
a31	0.0479866	0.0813592	0.210159	0.226952	0.163182	0.179852	0.0905093
a18	0.0619705	0.0801575	0.196905	0.186827	0.0301232	0.26732	0.176697
a31	0.0384191	0.0636971	0.231153	0.254515	0.138896	0.178408	0.0949129
a39	0.0398239	0.057996	0.16505	0.14949	0.0204794	0.351236	0.215925
a41	0.0350666	0.0509695	0.22327	0.261202	0.120229	0.203841	0.105423
a8	0.026986	0.0486539	0.227532	0.252654	0.137601	0.201936	0.104636
a31	0.0206802	0.0330216	0.175081	0.207871	0.151855	0.245193	0.166298
a46	0.0268099	0.038513	0.121414	0.124878	0.0194386	0.411272	0.257674
a8	0.024216	0.0345773	0.186965	0.231706	0.13256	0.259635	0.130341
</S>	0.0170741	0.0276443	0.175887	0.21185	0.146435	0.257017	0.164093
