 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.0548039	0.0244656	0.119405	0.0972549	0.112243	0.159365	0.204789	0.227673
a27	0.093723	0.141596	0.162901	0.167807	0.171978	0.148446	0.0830923	0.0304565
a8	0.085218	0.099676	0.137223	0.135563	0.179913	0.171731	0.12731	0.0633659
a28	0.0765024	0.0843813	0.129915	0.127466	0.181655	0.179381	0.14208	0.0786194
a31	0.0919084	0.0912129	0.126638	0.116661	0.188788	0.19142	0.135591	0.0577797
a24	0.13503	0.107862	0.144628	0.0894334	0.170583	0.206222	0.108159	0.0380825
a31	0.133955	0.0876494	0.117566	0.0832045	0.145442	0.18555	0.148859	0.0977736
a10	0.143497	0.0972529	0.129026	0.0648773	0.124124	0.188457	0.143193	0.109573
a20	0.124778	0.0871089	0.111148	0.0767428	0.141165	0.183844	0.158287	0.116926
a31	0.0990449	0.0701883	0.0957367	0.079601	0.141113	0.172419	0.180817	0.161081
a39	0.143607	0.0883556	0.133128	0.05996	0.111283	0.18557	0.147796	0.1303
a31	0.0816322	0.0655644	0.112209	0.103038	0.160967	0.176221	0.166957	0.133412
a18	0.179323	0.090345	0.175135	0.0651102	0.105083	0.169806	0.108841	0.106357
a31	0.0572069	0.0433661	0.130059	0.112409	0.17923	0.203406	0.162119	0.112205
a17	0.172127	0.0673975	0.255249	0.069158	0.0804238	0.137814	0.0954566	0.122374
a31	0.0306717	0.021477	0.128151	0.110857	0.185129	0.22711	0.168499	0.128105
a8	0.10321	0.0409229	0.45291	0.0484087	0.0338108	0.0701974	0.0703367	0.180204
</S>	0.0441305	0.026191	0.139838	0.0752539	0.135461	0.236555	0.174407	0.168163
