 	forse	non	li	ha	a	casa	</S>
a28	0.165755	0.199405	0.145507	0.0561914	0.0663193	0.144424	0.222398
a10	0.0911959	0.199395	0.252126	0.241523	0.179855	0.0270159	0.00888936
a31	0.124529	0.169808	0.193059	0.160924	0.211561	0.103246	0.0368735
a21	0.143736	0.22346	0.232874	0.132212	0.194628	0.0554905	0.0175988
a37	0.0984695	0.123757	0.143507	0.119668	0.195178	0.202123	0.117298
a31	0.111587	0.145794	0.166892	0.131302	0.207127	0.164989	0.0723079
a37	0.142845	0.187675	0.182695	0.0833934	0.179637	0.174492	0.0492627
a31	0.100346	0.128174	0.142869	0.0981364	0.197547	0.225995	0.106932
a37	0.134362	0.173506	0.150375	0.0512243	0.139465	0.262445	0.0886238
a31	0.106965	0.149123	0.153059	0.0895676	0.194823	0.211008	0.095454
a21	0.147154	0.197986	0.14925	0.0350122	0.0972945	0.260531	0.112774
a31	0.0856712	0.13762	0.131317	0.0943449	0.210553	0.178979	0.161514
a20	0.250745	0.359434	0.136062	0.0134648	0.0243551	0.12306	0.0928793
a31	0.189076	0.302104	0.165973	0.0246471	0.0614203	0.122539	0.134241
a37	0.313691	0.453037	0.0684601	0.00479348	0.0153456	0.0506114	0.0940613
a33	0.295846	0.400925	0.0979772	0.00726992	0.028843	0.0602186	0.10892
</S>	0.202596	0.259085	0.145327	0.0344626	0.0697059	0.111414	0.17741
