 	il	vestito	della	sposa	vuole	bianco	</S>
a17	0.22583	0.252217	0.136331	0.0636269	0.0591878	0.0710874	0.19172
a31	0.127899	0.27359	0.1067	0.206985	0.177098	0.0786884	0.0290391
a17	0.250204	0.43034	0.0220012	0.0982179	0.118827	0.0613747	0.019035
a31	0.180359	0.193995	0.0267155	0.108644	0.163645	0.175142	0.151499
a14	0.297155	0.362641	0.0158739	0.0517789	0.0907522	0.117022	0.0647768
a17	0.220157	0.251064	0.0187892	0.0641155	0.128499	0.171711	0.145664
a31	0.181038	0.193908	0.0265936	0.0866604	0.130439	0.158848	0.222514
a11	0.303887	0.360191	0.0123182	0.0305301	0.0575906	0.118884	0.116599
a35	0.221162	0.238294	0.0237329	0.0796238	0.1102	0.139974	0.187013
a38	0.201125	0.213229	0.0339221	0.0865673	0.106909	0.126914	0.231334
a31	0.190928	0.201679	0.0406258	0.0921026	0.112727	0.128647	0.233291
a21	0.275399	0.310553	0.0146826	0.0346422	0.0629077	0.121464	0.180351
a31	0.229094	0.247515	0.0337243	0.0690408	0.0794161	0.0935719	0.247639
a24	0.360248	0.410013	0.0112041	0.0188277	0.0229441	0.0616542	0.115109
a8	0.30061	0.329847	0.0255792	0.0487094	0.0535286	0.0769418	0.164784
a23	0.264409	0.327144	0.0223582	0.0436662	0.0504232	0.0525254	0.239474
a31	0.260702	0.291482	0.0370415	0.0585821	0.0573791	0.0610184	0.233794
a8	0.390915	0.470127	0.00992049	0.00602362	0.00536432	0.0185361	0.0991134
a23	0.272761	0.375929	0.0256122	0.0471041	0.0467791	0.04809	0.183724
a31	0.278059	0.344444	0.0453869	0.0478839	0.0430681	0.0471388	0.194019
a10	0.394238	0.538652	0.00649615	0.00162367	0.00111459	0.00443494	0.0534409
a37	0.342726	0.435008	0.0223002	0.0119382	0.0104233	0.0182576	0.159347
a46	0.325583	0.438506	0.0170616	0.0101599	0.00973821	0.0145171	0.184434
a8	0.271195	0.464094	0.0224575	0.030158	0.0283909	0.0269242	0.156781
a31	0.269576	0.473019	0.0343045	0.0292149	0.0250706	0.0255719	0.143242
a20	0.285152	0.688305	0.00133137	0.000255619	0.000163564	0.00055254	0.0242406
a8	0.291486	0.549558	0.020877	0.00846588	0.00692957	0.0107162	0.111967
a13	0.224649	0.5709	0.0291519	0.0240018	0.0195424	0.02182	0.109935
a18	0.288502	0.574108	0.0178332	0.00351108	0.00276335	0.00526282	0.108019
</S>	0.28309	0.563894	0.017823	0.0051482	0.00439145	0.00705971	0.118594
